Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,-0.1182902008295059,0.8891221284866334,0.3297334611415863,-0.7641293406486511,-0.2493509650230407,-0.5427387952804565,0.5010762810707092,0.4,0.5,-0.3,0.3999998944356264,0.5000001065063585,-0.2999998079578931,0.001380475164017,0.0001774385952856,0.0008683546277589,0.0010394389824396,0.0002180470614152,0.0002273588038746,0.0003115537031557,2.436546986780092e-07,1.839084711718897e-05,-0.2760950328034005,0.0354877190571228,-0.1736709255517944,0.207887796487928,-0.0436094122830517,-0.0454717607749467,-0.0623107406311505,0,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.3,0.3999999140645351,-0.5000000699514848,-0.299999794294231,0.001366970627222,0.0001283472890959,0.0008885155506699,0.0011066095670407,0.000180069815612,0.0001840055928022,0.000336037618301,2.3365140224486559e-07,1.716063792400746e-05,-0.2733941254444111,-0.0256694578191978,0.1777031101339873,0.2213219134081651,0.0360139631224181,-0.0368011185604543,0.0672075236602067
1,-0.118300549685955,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.29,0.3998908079152625,0.4998239010020724,-0.289831159935463,0.0292995798149768,0.005523664795362,0.0244539495003561,0.0541835108177783,0.0002811518803294,0.0357055849351182,0.0184814503308898,0.0002672839984609,0.0194488095702922,5.8599159629953785,1.1047329590724078,4.890789900071227,-10.83670216355568,0.0562303760658924,7.141116987023635,3.696290066177981,1,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.29,0.3998908033423814,-0.4998239087393272,-0.2898311638140854,0.0292992676483128,0.0055231331778448,0.0244538848756495,0.0541830339397078,0.0002807693302035,0.0357054883511467,0.0184818386775121,0.0002672783189758,0.0194489953922243,5.859853529662567,-1.1046266355689558,-4.890776975129917,-10.836606787941562,-0.0561538660407098,7.141097670229349,-3.696367735502444
2,-0.1196706742048263,0.8892995715141297,0.328865110874176,-0.7630898952484131,-0.2495690137147903,-0.5429661273956299,0.5007647275924683,0.4,0.5,-0.28,0.3995572775249933,0.4992634429103063,-0.2793039615742724,0.0614112981126825,0.0108061901887526,0.0507065503757077,0.1107053876898115,0.0009702697305006,0.0718374916064102,0.0376903506845368,0.0011058883426202,0.080511704218793,12.2822596225365,2.1612380377505307,10.141310075141549,-22.1410775379623,0.1940539461001354,14.367498321282044,7.538070136907369,2,-0.1196675226092338,-0.8893053531646729,-0.3288508653640747,-0.7630895972251892,0.249552845954895,-0.5429702997207642,-0.5007840991020203,0.4,-0.5,-0.28,0.3995573108382536,-0.4992634097893222,-0.2793039502481049,0.0614123929461153,0.0108072405724407,0.0507073420335444,0.1107051853895934,0.0009699362474147,0.0718373903320396,0.0376897673531588,0.0011059041954469,0.0805134582289497,12.282478589223077,-2.161448114488152,-10.141468406708896,-22.141037077918675,-0.1939872494829472,14.36747806640792,-7.53795347063177
3,-0.0582593753933906,0.9001057744026185,0.3795716464519501,-0.8737952709197998,-0.249091625213623,-0.5070807337760925,0.519601583480835,0.4,0.5,-0.27,0.3997673653604662,0.4998696430411817,-0.269854002226239,0.017897193736555,0.0051643261678888,0.0227616992984246,0.0388352282063745,0.0068094964514501,0.0655288675751765,0.030285226633551,0.0003040183582722,0.0448516493673878,3.5794387473110034,1.0328652335777708,4.552339859684929,-7.767045641274896,-1.3618992902900278,13.105773515035306,6.057045326710203,3,-0.0890012830495834,-0.8947001695632935,-0.3541932702064514,-0.8183792233467102,0.2490920126438141,-0.5070807933807373,-0.5196020007133484,0.4,-0.5,-0.27,0.3996266174892524,-0.4992972768620998,-0.2694766520562331,0.0529001490916751,0.0119060214667819,0.0463931701100537,0.0989960492355344,0.0023689425323978,0.0667353477491429,0.0350799129688408,0.0009524323483153,0.0747431579483191,10.580029818335026,-2.38120429335639,-9.278634022010756,-19.799209847106887,0.4737885064795653,13.347069549828593,-7.0159825937681575
4,-0.0582593753933906,0.9001057744026185,0.3795716464519501,-0.8737952709197998,-0.2485987395048141,-0.4711286425590515,0.538455069065094,0.4,0.5,-0.26,0.3997009102625351,0.4993569833456511,-0.2596417107214539,0.0422449267195352,0.013579037986244,0.0408831463703117,0.0841470449584207,0.0063273441363707,0.0602201217608522,0.0323706344153278,0.000794541563386,0.0677406260086286,8.448985343907049,2.71580759724882,8.17662927406234,-16.829408991684137,-1.2654688272741472,12.044024352170442,6.474126883065577,4,-0.0582551285624504,-0.9001125693321228,-0.3795582056045533,-0.8737947940826416,0.2485829144716262,-0.4711329042911529,-0.5384738445281982,0.4,-0.5,-0.26,0.3997009328156765,-0.4993569604535962,-0.2596417008277785,0.0422461146769007,0.0135797985883291,0.0408841124643998,0.0841469866695576,0.0063276163640701,0.060219998052746,0.0323701697396818,0.0007945560620831,0.0677427305547553,8.449222935380154,-2.7159597176658283,-8.176822492879971,-16.82939733391153,1.265523272814028,12.043999610549204,-6.474033947936385
5,-0.0403621830046176,0.9052700996398926,0.4023333489894867,-0.9126304984092714,-0.2559011280536651,-0.4415518641471863,0.5498868227005005,0.4,0.5,-0.25,0.3996762770820912,0.4993424771007067,-0.2496788917025151,0.0417649055555054,0.0134549585807792,0.0411618632020692,0.0845493561488852,0.0073770733249758,0.0607447927007381,0.032124878304685,0.000800152128903,0.0702321399172092,8.352981111101085,2.690991716155862,8.232372640413848,-16.909871229777046,-1.475414664995181,12.148958540147632,6.424975660937014,5,-0.0361011326313018,-0.9066061973571776,-0.4005864262580871,-0.9173752665519715,0.2514609694480896,-0.44034543633461,-0.5546818971633911,0.4,-0.5,-0.25,0.399711409025288,-0.4993695210652313,-0.2497020338642621,0.0387479739354536,0.0141819341843475,0.0398795004387629,0.0794245527225528,0.0081176713503129,0.0583189451342677,0.0315127660845023,0.0007547001099236,0.0672014314474722,7.749594787090737,-2.836386836869514,-7.975900087752601,-15.88491054451059,1.6235342700625828,11.663789026853545,-6.302553216900479
6,-0.0160144492983818,0.9136847853660583,0.4204548001289368,-0.957942306995392,-0.2549260854721069,-0.4109085202217102,0.5708256959915162,0.4,0.5,-0.24,0.3997170918429935,0.4993819905563135,-0.2397521933750245,0.0357047536267321,0.0147367532370601,0.0391474163616822,0.0753552136174794,0.0097830432668314,0.056702995117567,0.0308082109961731,0.0007234506349213,0.0669266800204582,7.140950725346438,2.9473506474120184,7.829483272336446,-15.071042723495903,-1.9566086533662967,11.340599023513407,6.161642199234624,6,-0.0160090140998363,-0.9136923551559448,-0.4204423129558563,-0.9579417705535888,0.2549105286598205,-0.4109129011631012,-0.5708439946174622,0.4,-0.5,-0.24,0.3997171110335324,-0.4993819710505029,-0.2397521843540078,0.0357059720363295,0.0147373439639849,0.0391485112175988,0.0753551683832951,0.0097833447366137,0.0567028287954465,0.0308077561168489,0.0007234628837501,0.066928753113018,7.14119440726591,-2.947468792796991,-7.829702243519779,-15.071033676659049,1.9566689473227532,11.3405657590893,-6.161551223369779
7,0.0196903049945831,0.9284215569496156,0.4434952139854431,-0.9971798658370972,-0.2632782161235809,-0.3808070719242096,0.5820116996765138,0.4,0.5,-0.23,0.3995599655020934,0.4995531178446723,-0.2298289659221737,0.0158280296168286,0.0077077959766124,0.0357463696719922,0.0703868416708242,0.0079379013329313,0.0533443168332225,0.0345126981302106,0.0006500666703316,0.0525697978872017,3.165605923365723,1.5415591953224856,7.149273934398459,-14.077368334164836,-1.5875802665862615,10.66886336664451,6.902539626042133,7,0.0026468413416296,-0.9207881093025208,-0.4404659271240234,-0.9967998266220092,0.2595786452293396,-0.3820264935493469,-0.586194634437561,0.4,-0.5,-0.23,0.3997219145364373,-0.4994019871484553,-0.2298012267247203,0.0321795638277871,0.0153543133619611,0.0380249818795794,0.0707561291533567,0.0115280986949362,0.0548683458491712,0.0301037985756144,0.0006888118107457,0.0658167668796636,6.435912765557419,-3.0708626723922268,-7.604996375915886,-14.151225830671352,2.3056197389872435,10.973669169834253,-6.020759715122872
8,0.0196903049945831,0.9284215569496156,0.4596022069454193,-1.0332975387573242,-0.2647091150283813,-0.3542055189609527,0.6016339063644409,0.4,0.5,-0.22,0.3997238905541674,0.4994221087388494,-0.2198429770249252,0.0288811815179077,0.015979515524598,0.037012498743388,0.0665014366829712,0.013196420782877,0.0531854583618663,0.029525595170339,0.0006594322940935,0.0647298642758187,5.776236303581558,3.1959031049196223,7.402499748677613,-13.300287336594232,-2.639284156575411,10.63709167237328,5.905119034067801,8,0.0196969583630561,-0.9284297227859498,-0.4595908224582672,-1.0332969427108765,0.2646938860416412,-0.3542100787162781,-0.6016517281532289,0.4,-0.5,-0.22,0.3997239066144603,-0.4994220920872306,-0.2198429687051902,0.0288824085898558,0.0159799609067853,0.0370137132659171,0.0665014089630391,0.0131967534208577,0.0531852831970583,0.0295251111490325,0.0006594421435803,0.0647317481628988,5.776481717971175,-3.195992181357057,-7.402742653183422,-13.300281792607835,2.639350684171557,10.637056639411668,-5.905022229806503
9,0.0355183333158493,0.9361293315887452,0.4792415797710419,-1.0675667524337769,-0.2712161242961883,-0.327462762594223,0.6165243983268738,0.4,0.5,-0.21,0.3997146378548769,0.4994479680834127,-0.2098850540091857,0.0250902217880625,0.0165934603062856,0.0353146699278374,0.0625863652524414,0.0146481327159678,0.0519548648520794,0.0288738608893328,0.0006319678564647,0.0626907689216409,5.018044357612516,3.318692061257121,7.062933985567492,-12.517273050488296,-2.9296265431935646,10.390972970415882,5.77477217786656,9,0.0348264053463935,-0.9361424446105956,-0.4784909188747406,-1.0675559043884275,0.2711067497730255,-0.3271581530570984,-0.6162984371185304,0.4,-0.5,-0.21,0.399722588389244,-0.4994427775734911,-0.209879003606597,0.0257441531809825,0.0165872114004607,0.0360371195253467,0.0625956501960682,0.0147687801336837,0.0516611546615678,0.0290846444704927,0.0006341089508934,0.0636051894799152,5.148830636196503,-3.3174422800921337,-7.2074239050693505,-12.519130039213646,2.953756026736752,10.332230932313568,-5.816928894098541
