Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,-0.11830054968595505,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.30000000000000004,0.3999999140645351,-0.5000000699514848,-0.299999794294231,0.001366970627222061,0.0001283472890959425,0.0008885155506699327,0.0011066095670407838,0.0001800698156120828,0.00018400559280229434,0.00033603761830103274,2.3365140224486553e-07,1.716063792400746e-05,-0.2733941254444111,-0.02566945781919787,0.17770311013398737,0.22132191340816512,0.036013963122418106,-0.0368011185604543,0.06720752366020677
1,-0.11830054968595505,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.29000000000000004,0.3998908033423814,-0.49982390873932725,-0.28983116381408547,0.029299267648312838,0.005523133177844808,0.02445388487564959,0.0541830339397078,0.0002807693302035452,0.03570548835114673,0.018481838677512186,0.0002672783189758786,0.019448995392224333,5.8598535296625665,-1.1046266355689558,-4.890776975129917,-10.836606787941562,-0.056153866040709856,7.141097670229349,-3.696367735502444
2,-0.11966752260923386,-0.8893053531646729,-0.3288508653640747,-0.7630895972251892,0.24955284595489505,-0.5429702997207642,-0.5007840991020203,0.4,-0.5,-0.28,0.39955731083825363,-0.4992634097893222,-0.27930395024810495,0.061412392946115384,0.010807240572440757,0.05070734203354449,0.1107051853895934,0.0009699362474147322,0.07183739033203962,0.037689767353158876,0.0011059041954469982,0.08051345822894973,12.282478589223077,-2.161448114488152,-10.141468406708896,-22.141037077918675,-0.19398724948294727,14.367478066407921,-7.53795347063177
3,-0.08900128304958344,-0.8947001695632935,-0.3541932702064514,-0.8183792233467102,0.2490920126438141,-0.5070807933807373,-0.5196020007133484,0.4,-0.5,-0.27,0.39962661748925243,-0.49929727686209985,-0.26947665205623317,0.05290014909167513,0.01190602146678199,0.04639317011005378,0.0989960492355344,0.002368942532397833,0.06673534774914297,0.03507991296884083,0.000952432348315301,0.0747431579483191,10.580029818335026,-2.38120429335639,-9.278634022010756,-19.799209847106887,0.4737885064795653,13.347069549828591,-7.0159825937681575
4,-0.058255128562450416,-0.9001125693321228,-0.3795582056045533,-0.8737947940826416,0.24858291447162628,-0.47113290429115295,-0.5384738445281982,0.4,-0.5,-0.26,0.39970093281567654,-0.4993569604535962,-0.2596417008277785,0.04224611467690077,0.01357979858832914,0.04088411246439988,0.08414698666955767,0.006327616364070143,0.06021999805274603,0.032370169739681875,0.0007945560620831234,0.06774273055475533,8.449222935380154,-2.7159597176658283,-8.176822492879971,-16.82939733391153,1.265523272814028,12.043999610549204,-6.474033947936385
5,-0.03610113263130189,-0.9066061973571777,-0.40058642625808716,-0.9173752665519715,0.2514609694480896,-0.44034543633461,-0.5546818971633911,0.4,-0.5,-0.25,0.399711409025288,-0.49936952106523136,-0.24970203386426218,0.038747973935453685,0.014181934184347544,0.03987950043876298,0.07942455272255289,0.008117671350312938,0.05831894513426772,0.031512766084502375,0.0007547001099236427,0.06720143144747226,7.749594787090737,-2.8363868368695146,-7.975900087752601,-15.88491054451059,1.6235342700625828,11.663789026853543,-6.302553216900479
6,-0.01600901409983635,-0.9136923551559448,-0.4204423129558563,-0.9579417705535889,0.25491052865982056,-0.4109129011631012,-0.5708439946174622,0.4,-0.5,-0.24000000000000002,0.39971711103353247,-0.4993819710505029,-0.23975218435400783,0.03570597203632955,0.014737343963984961,0.03914851121759888,0.07535516838329515,0.009783344736613742,0.056702828795446525,0.03080775611684894,0.0007234628837501456,0.06692875311301805,7.14119440726591,-2.947468792796991,-7.829702243519779,-15.071033676659049,1.9566689473227534,11.340565759089301,-6.161551223369779
7,0.0026468413416296244,-0.9207881093025208,-0.44046592712402344,-0.9967998266220093,0.2595786452293396,-0.3820264935493469,-0.586194634437561,0.4,-0.5,-0.23,0.39972191453643735,-0.49940198714845535,-0.2298012267247203,0.0321795638277871,0.015354313361961136,0.03802498187957942,0.07075612915335672,0.011528098694936206,0.054868345849171274,0.030103798575614404,0.000688811810745757,0.06581676687966365,6.435912765557419,-3.0708626723922268,-7.604996375915886,-14.151225830671352,2.3056197389872435,10.973669169834253,-6.020759715122872
8,0.019696958363056183,-0.9284297227859498,-0.4595908224582672,-1.0332969427108765,0.26469388604164124,-0.35421007871627813,-0.6016517281532289,0.4,-0.5,-0.22,0.3997239066144603,-0.4994220920872306,-0.21984296870519027,0.02888240858985587,0.01597996090678533,0.037013713265917125,0.06650140896303913,0.013196753420857799,0.05318528319705834,0.029525111149032557,0.0006594421435803968,0.06473174816289884,5.7764817179711745,-3.195992181357057,-7.402742653183422,-13.300281792607835,2.639350684171557,10.637056639411668,-5.9050222298065025
9,0.034826405346393585,-0.9361424446105957,-0.4784909188747406,-1.0675559043884277,0.2711067497730255,-0.3271581530570984,-0.6162984371185304,0.4,-0.5,-0.21,0.399722588389244,-0.4994427775734911,-0.20987900360659703,0.025744153180982512,0.01658721140046071,0.03603711952534672,0.06259565019606828,0.014768780133683768,0.05166115466156784,0.02908464447049275,0.0006341089508934889,0.06360518947991523,5.148830636196503,-3.3174422800921337,-7.2074239050693505,-12.519130039213646,2.9537560267367517,10.332230932313568,-5.816928894098541
10,0.048579368740320206,-0.9444096684455872,-0.4966045320034027,-1.099798321723938,0.2778906524181366,-0.30102479457855225,-0.6311768293380737,0.4,-0.5,-0.19999999999999998,0.39971968784832806,-0.4994634353277915,-0.19991015356660677,0.022752910273676763,0.01721788085426057,0.03509830067055919,0.058916475567137194,0.0162793994240355,0.05022808803521589,0.028737554179695146,0.0006120040289333312,0.062472306368196076,4.550582054735353,-3.4435761708521064,-7.019660134111834,-11.783295113427435,3.2558798848071016,10.045617607043178,-5.747510835939026
11,0.06057055667042732,-0.952729642391205,-0.5145280361175537,-1.1301515102386475,0.285875529050827,-0.2754969894886017,-0.6453830599784851,0.4,-0.5,-0.18999999999999997,0.39971480781671576,-0.4994848668816565,-0.1899375402891996,0.019811229399946714,0.01786241043042136,0.034096042207635846,0.05542278296142178,0.017709370699242222,0.04887537202820852,0.028504831342409997,0.0005921131027886602,0.061239511631253456,3.962245879989343,-3.5724820860842734,-6.819208441527165,-11.08455659228435,3.5418741398484492,9.775074405641703,-5.700966268482001
12,0.07133227586746217,-0.9616275429725648,-0.5317028164863586,-1.158714771270752,0.2941700518131256,-0.25079670548439026,-0.6599143743515015,0.4,-0.5,-0.17999999999999997,0.3997090539933026,-0.4995061619549467,-0.17996123986124313,0.016975761659069957,0.018544862214041835,0.03308516331862488,0.05208735120183694,0.01907859991756028,0.04757458460784547,0.02835160028112005,0.0005744805844514822,0.0600131477374282,3.395152331813991,-3.7089724428083612,-6.617032663724966,-10.417470240367395,3.8157199835120514,9.514916921569096,-5.670320056224018
