Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,0.0,0.2617993950843811,0.2617993950843811,0.0,2.30309740666102e-16,-5.4574673590006937e-17,2.3921981258716795e-16,0.4,0.5,-0.3,0.1374122534171078,0.3139556035389468,-0.6332541655659504,0.0998232787792183,0.1005361945042063,0.0218993729059543,0.1000731298666057,0.0935385444908391,0.0999309147673083,0.023475278679382,0.4632744121760844,71.51180571810575,-9.982327877921836,10.05361945042063,2.1899372905954344,-10.007312986660573,9.35385444908392,-9.993091476730829,2.347527867938201,0,0.0,-0.2617993950843811,-0.2617993950843811,0.0,2.30309740666102e-16,-5.4574673590006937e-17,2.3921981258716795e-16,0.4,-0.5,-0.3,0.137412360106725,-0.3139560478459323,-0.6332540514650349,0.0998232796817827,0.1005361941653317,0.0218993993444028,0.1000731308881083,0.0935383056780939,0.0999309154101298,0.0234753051183826,0.4632740911983805,71.51179491607017,-9.982327968178272,-10.053619416533174,-2.189939934440284,-10.007313088810834,-9.353830567809393,-9.993091541012983,-2.34753051183827
1,0.0,0.2617993950843811,0.2617993950843811,0.0,2.30309740666102e-16,-5.4574673590006937e-17,2.3921981258716795e-16,0.4,0.5,-0.3,0.1374122534171078,0.3139556035389468,-0.6332541655659504,0.0998232787792183,0.1005361945042063,0.0218993729059543,0.1000731298666057,0.0935385444908391,0.0999309147673083,0.023475278679382,0.4632744121760844,71.51180571810575,-9.982327877921836,10.05361945042063,2.1899372905954344,-10.007312986660573,9.35385444908392,-9.993091476730829,2.347527867938201,1,0.0,-0.2617993950843811,-0.2617993950843811,0.0,2.30309740666102e-16,-5.4574673590006937e-17,2.3921981258716795e-16,0.4,-0.5,-0.3,0.137412360106725,-0.3139560478459323,-0.6332540514650349,0.0998232796817827,0.1005361941653317,0.0218993993444028,0.1000731308881083,0.0935383056780939,0.0999309154101298,0.0234753051183826,0.4632740911983805,71.51179491607017,-9.982327968178272,-10.053619416533174,-2.189939934440284,-10.007313088810834,-9.353830567809393,-9.993091541012983,-2.34753051183827
2,-0.0998232811689376,0.362335592508316,0.2836987674236297,-0.1000731289386749,0.0935385450720787,-0.0999309122562408,0.0234752781689167,0.4,0.5,-0.3,0.2458218240232408,0.375369125440667,-0.5784933487277766,0.1000685127564036,0.1003704875752191,0.090259378299936,0.1005974609963575,0.0399374975078008,0.1000639010530296,0.0033563354743909,0.3418512982665938,56.11511738559419,-10.006851275640368,10.037048757521914,9.0259378299936,-10.05974609963576,3.99374975078008,-10.006390105302968,0.3356335474390918,2,-0.0998232811689376,-0.362335592508316,-0.2836987972259522,-0.1000731289386749,-0.0935383066534996,-0.0999309122562408,-0.0234753042459487,0.4,-0.5,-0.3,0.2458218992853074,-0.3753695237589722,-0.5784931717826152,0.1000685147229624,0.100370487478607,0.0902593404876548,0.100597462869067,0.0399372982440918,0.1000639016612393,0.0033563802347117,0.3418509749548719,56.115107928936695,-10.00685147229624,-10.037048747860704,-9.025934048765484,-10.059746286906703,-3.993729824409184,-10.006390166123936,-0.3356380234711734
3,-0.0998232811689376,0.362335592508316,0.2836987674236297,-0.1000731289386749,0.0935385450720787,-0.0999309122562408,0.0234752781689167,0.4,0.5,-0.3,0.2458218240232408,0.375369125440667,-0.5784933487277766,0.1000685127564036,0.1003704875752191,0.090259378299936,0.1005974609963575,0.0399374975078008,0.1000639010530296,0.0033563354743909,0.3418512982665938,56.11511738559419,-10.006851275640368,10.037048757521914,9.0259378299936,-10.05974609963576,3.99374975078008,-10.006390105302968,0.3356335474390918,3,-0.0998232811689376,-0.362335592508316,-0.2836987972259522,-0.1000731289386749,-0.0935383066534996,-0.0999309122562408,-0.0234753042459487,0.4,-0.5,-0.3,0.2458218992853074,-0.3753695237589722,-0.5784931717826152,0.1000685147229624,0.100370487478607,0.0902593404876548,0.100597462869067,0.0399372982440918,0.1000639016612393,0.0033563802347117,0.3418509749548719,56.115107928936695,-10.00685147229624,-10.037048747860704,-9.025934048765484,-10.059746286906703,-3.993729824409184,-10.006390166123936,-0.3356380234711734
4,-0.1998917907476425,0.4627060890197754,0.3739581406116485,-0.2006705850362777,0.133476048707962,-0.1999948173761367,0.0268316138535738,0.4,0.5,-0.3,0.3318164248614929,0.4388360945266153,-0.4984781103135106,0.1006290540048769,0.1000729174879548,0.0996936147409843,0.1010251711498213,0.0096991158073394,0.092102755195223,0.0077684018032817,0.2185945642623522,44.03507106851106,-10.062905400487692,10.007291748795485,9.969361474098438,-10.102517114982131,-0.9699115807339468,-9.210275519522304,0.7768401803281744,4,-0.1998917907476425,-0.4627060890197754,-0.3739581406116485,-0.2006705850362777,-0.1334756016731262,-0.1999948173761367,-0.0268316846340894,0.4,-0.5,-0.3,0.331816447535878,-0.438836443834863,-0.4984778862493285,0.1006290545273335,0.1000729174570939,0.0996936149166974,0.1010251710265683,0.0096992267903707,0.0921026410544242,0.0077683968188605,0.2185942560073226,44.03506868884906,-10.062905452733352,-10.007291745709392,-9.969361491669751,-10.102517102656837,0.9699226790370716,-9.210264105442423,-0.7768396818860577
5,-0.1998917907476425,0.4627060890197754,0.3739581406116485,-0.2006705850362777,0.133476048707962,-0.1999948173761367,0.0268316138535738,0.4,0.5,-0.3,0.3318164248614929,0.4388360945266153,-0.4984781103135106,0.1006290540048769,0.1000729174879548,0.0996936147409843,0.1010251711498213,0.0096991158073394,0.092102755195223,0.0077684018032817,0.2185945642623522,44.03507106851106,-10.062905400487692,10.007291748795485,9.969361474098438,-10.102517114982131,-0.9699115807339468,-9.210275519522304,0.7768401803281744,5,-0.1998917907476425,-0.4627060890197754,-0.3739581406116485,-0.2006705850362777,-0.1334756016731262,-0.1999948173761367,-0.0268316846340894,0.4,-0.5,-0.3,0.331816447535878,-0.438836443834863,-0.4984778862493285,0.1006290545273335,0.1000729174570939,0.0996936149166974,0.1010251710265683,0.0096992267903707,0.0921026410544242,0.0077683968188605,0.2185942560073226,44.03506868884906,-10.062905452733352,-10.007291745709392,-9.969361491669751,-10.102517102656837,0.9699226790370716,-9.210264105442423,-0.7768396818860577
6,-0.1998917907476425,0.4627060890197754,0.3739581406116485,-0.2006705850362777,0.133476048707962,-0.1999948173761367,0.0268316138535738,0.4,0.5,-0.3,0.3319971239380553,0.4386351680447698,-0.4981492997750715,0.1001116387547293,0.1000661988595775,0.0998771622998518,0.1005192112761986,0.0125256960533748,0.1000676788419918,0.0076579366135957,0.2182960804846046,43.63113164947951,-10.011163875472938,10.00661988595776,9.987716229985184,-10.051921127619869,-1.2525696053374882,-10.00676788419918,0.7657936613595717,6,-0.3005208373069763,-0.5627790093421937,-0.4736517667770386,-0.3016957640647888,-0.1334756016731262,-0.1999948173761367,-0.0268316846340894,0.4,-0.5,-0.3,0.3844932168858697,-0.5039564864475816,-0.4101084953091161,0.1001694537351456,0.0999887412392335,0.1000475819393068,0.1002785017460562,0.0356523407052203,0.0666715706304385,0.0137959792315968,0.1112654252083557,41.4879280466212,-10.016945373514568,-9.99887412392335,-10.004758193930686,-10.02785017460562,3.5652340705220302,-6.667157063043856,-1.3795979231596849
7,-0.3005208373069763,0.5627790093421937,0.4736517667770386,-0.3016957640647888,0.1237769350409507,-0.2920975685119629,0.0346000157296657,0.4,0.5,-0.3,0.3909337356963392,0.5032005106662667,-0.3981099129317793,0.1056008473765074,0.101054043722191,0.0970747517659756,0.1067061449035337,0.0371810099293005,0.0609488028371476,0.020503020361641,0.0985798936519512,38.30130742099805,-10.56008473765074,10.105404372219107,9.707475176597564,-10.670614490353376,-3.718100992930058,-6.094880283714765,2.050302036164108,7,-0.3005208373069763,-0.5627790093421937,-0.4736517667770386,-0.3016957640647888,-0.123776376247406,-0.2920974493026733,-0.0346000827848911,0.4,-0.5,-0.3,0.3909336930289828,-0.5032008000574866,-0.3981096638821839,0.1056008344895845,0.1010540410669448,0.0970747587307927,0.1067061234722109,0.0371810891734405,0.060948709532473,0.0205029473919166,0.0985796591096551,38.301310370219824,-10.560083448958451,-10.105404106694486,-9.707475873079272,-10.670612347221091,3.718108917344059,-6.094870953247301,-2.050294739191666
8,-0.3005208373069763,0.5627790093421937,0.4736517667770386,-0.3016957640647888,0.1237769350409507,-0.2920975685119629,0.0346000157296657,0.4,0.5,-0.3,0.3882997547987248,0.5026889547608054,-0.4015492462399819,0.1004701819181641,0.1000318171374087,0.0998025769471034,0.1006387394131961,0.0408905648455068,0.0653282945913279,0.0153726640813425,0.102256420959195,38.30466662532097,-10.047018191816417,10.003181713740878,9.980257694710351,-10.063873941319615,-4.089056484550689,-6.532829459132795,1.5372664081342566,8,-0.4006902873516083,-0.662767767906189,-0.5736993551254272,-0.4019742608070373,-0.0978232622146606,-0.2666663825511932,-0.0406276620924472,0.4,-0.5,-0.3,0.3995099896339656,-0.5555613045184927,-0.3320421554385405,0.0150367657257672,0.1000039289869771,0.0269735490461305,0.0999976912973871,0.0558728608824742,0.0361316345103073,0.0065308740302042,0.0641404583324993,38.73713415016535,-1.503676572576729,-10.00039289869772,-2.6973549046130567,-9.99976912973871,5.58728608824742,-3.613163451030737,-0.6530874030204216
9,-0.4061216711997986,0.6638330817222595,0.5707265138626099,-0.408401906490326,0.0865959227085113,-0.3530463576316833,0.0551030375063419,0.4,0.5,-0.3,0.4013731978077988,0.5535856661075371,-0.3237480706753566,0.0045504879584187,0.0999593053504334,0.0254681308487161,0.1000978287417082,0.0554214096773891,0.0259332459932014,0.0061183723587581,0.0586283220398599,36.92722233041543,-0.4550487958418716,9.995930535043335,2.546813084871614,-10.009782874170815,-5.542140967738919,-2.593324599320148,0.6118372358758166,9,-0.4061216711997986,-0.6638330221176147,-0.5707265138626099,-0.4084018766880035,-0.0865952894091606,-0.3530461490154266,-0.0551030300557613,0.4,-0.5,-0.3,0.4013731487860113,-0.5535857666991436,-0.3237479202670423,0.0045502291961548,0.0999593042747292,0.0254675424762911,0.1000978274135462,0.0554214612301405,0.0259331705086932,0.0061184550865621,0.0586283519070199,36.927204261404846,-0.4550229196154901,-9.99593042747292,-2.5467542476291163,-10.009782741354629,5.542146123014051,-2.5933170508693184,-0.6118455086562162
