Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
0,0.0,0.2617993950843811,0.2617993950843811,0.0,2.3030974066610196e-16,-5.457467359000694e-17,2.3921981258716795e-16,0.4,0.5,-0.30000000000000004,0.13741225341710783,0.31395560353894686,-0.6332541655659504,0.09982327877921834,0.10053619450420631,0.02189937290595434,0.10007312986660573,0.09353854449083919,0.0999309147673083,0.02347527867938201,0.4632744121760844,71.51180571810575,-9.982327877921835,10.05361945042063,2.1899372905954344,-10.007312986660573,9.353854449083919,-9.993091476730829,2.3475278679382012
1,0.0,0.2617993950843811,0.2617993950843811,0.0,2.3030974066610196e-16,-5.457467359000694e-17,2.3921981258716795e-16,0.4,0.5,-0.30000000000000004,0.13741225341710783,0.31395560353894686,-0.6332541655659504,0.09982327877921834,0.10053619450420631,0.02189937290595434,0.10007312986660573,0.09353854449083919,0.0999309147673083,0.02347527867938201,0.4632744121760844,71.51180571810575,-9.982327877921835,10.05361945042063,2.1899372905954344,-10.007312986660573,9.353854449083919,-9.993091476730829,2.3475278679382012
2,-0.09982328116893768,0.36233559250831604,0.28369876742362976,-0.10007312893867493,0.09353854507207872,-0.09993091225624086,0.023475278168916702,0.4,0.5,-0.30000000000000004,0.2458218240232408,0.37536912544066703,-0.5784933487277766,0.10006851275640366,0.10037048757521916,0.09025937829993602,0.10059746099635758,0.039937497507800804,0.10006390105302969,0.0033563354743909174,0.34185129826659383,56.11511738559419,-10.006851275640367,10.037048757521914,9.0259378299936,-10.05974609963576,3.9937497507800797,-10.006390105302968,0.33563354743909185
3,-0.09982328116893768,0.36233559250831604,0.28369876742362976,-0.10007312893867493,0.09353854507207872,-0.09993091225624086,0.023475278168916702,0.4,0.5,-0.30000000000000004,0.2458218240232408,0.37536912544066703,-0.5784933487277766,0.10006851275640366,0.10037048757521916,0.09025937829993602,0.10059746099635758,0.039937497507800804,0.10006390105302969,0.0033563354743909174,0.34185129826659383,56.11511738559419,-10.006851275640367,10.037048757521914,9.0259378299936,-10.05974609963576,3.9937497507800797,-10.006390105302968,0.33563354743909185
4,-0.19989179074764252,0.4627060890197754,0.37395814061164856,-0.20067058503627777,0.13347604870796204,-0.19999481737613678,0.026831613853573803,0.4,0.5,-0.30000000000000004,0.33181642486149293,0.4388360945266153,-0.49847811031351064,0.10062905400487693,0.10007291748795488,0.09969361474098437,0.10102517114982135,0.009699115807339467,0.09210275519522304,0.007768401803281744,0.21859456426235227,44.03507106851106,-10.062905400487693,10.007291748795485,9.969361474098438,-10.102517114982131,-0.9699115807339469,-9.210275519522305,0.7768401803281744
5,-0.19989179074764252,0.4627060890197754,0.37395814061164856,-0.20067058503627777,0.13347604870796204,-0.19999481737613678,0.026831613853573803,0.4,0.5,-0.30000000000000004,0.33181642486149293,0.4388360945266153,-0.49847811031351064,0.10062905400487693,0.10007291748795488,0.09969361474098437,0.10102517114982135,0.009699115807339467,0.09210275519522304,0.007768401803281744,0.21859456426235227,44.03507106851106,-10.062905400487693,10.007291748795485,9.969361474098438,-10.102517114982131,-0.9699115807339469,-9.210275519522305,0.7768401803281744
6,-0.19989179074764252,0.4627060890197754,0.37395814061164856,-0.20067058503627777,0.13347604870796204,-0.19999481737613678,0.026831613853573803,0.4,0.5,-0.30000000000000004,0.33199712393805536,0.4386351680447698,-0.4981492997750715,0.10011163875472939,0.10006619885957757,0.09987716229985183,0.10051921127619867,0.012525696053374877,0.1000676788419918,0.0076579366135957165,0.2182960804846046,43.63113164947951,-10.011163875472938,10.00661988595776,9.987716229985184,-10.051921127619867,-1.2525696053374882,-10.006767884199181,0.7657936613595717
7,-0.3005208373069763,0.5627790093421937,0.4736517667770386,-0.3016957640647888,0.12377693504095079,-0.2920975685119629,0.034600015729665756,0.4,0.5,-0.30000000000000004,0.3909337356963392,0.5032005106662667,-0.3981099129317793,0.10560084737650743,0.10105404372219107,0.09707475176597569,0.10670614490353375,0.03718100992930058,0.06094880283714765,0.020503020361641082,0.09857989365195127,38.30130742099805,-10.56008473765074,10.105404372219107,9.707475176597564,-10.670614490353376,-3.718100992930058,-6.094880283714765,2.050302036164108
8,-0.3005208373069763,0.5627790093421937,0.4736517667770386,-0.3016957640647888,0.12377693504095079,-0.2920975685119629,0.034600015729665756,0.4,0.5,-0.30000000000000004,0.3882997547987248,0.5026889547608054,-0.40154924623998195,0.10047018191816415,0.10003181713740872,0.09980257694710348,0.10063873941319612,0.04089056484550689,0.06532829459132794,0.015372664081342566,0.10225642095919503,38.30466662532097,-10.047018191816417,10.003181713740878,9.980257694710351,-10.063873941319615,-4.089056484550689,-6.532829459132795,1.5372664081342566
9,-0.40612167119979864,0.6638330817222595,0.5707265138626099,-0.408401906490326,0.08659592270851135,-0.35304635763168335,0.055103037506341934,0.4,0.5,-0.30000000000000004,0.4013731978077988,0.5535856661075371,-0.32374807067535666,0.004550487958418725,0.0999593053504334,0.02546813084871613,0.1000978287417082,0.05542140967738919,0.02593324599320146,0.006118372358758166,0.05862832203985996,36.927222330415425,-0.45504879584187163,9.995930535043335,2.546813084871614,-10.009782874170815,-5.542140967738919,-2.593324599320148,0.6118372358758166
