Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,0.0,-0.2617993950843811,-0.2617993950843811,0.0,2.3030974066610196e-16,-5.457467359000694e-17,2.3921981258716795e-16,0.4,-0.5,-0.30000000000000004,0.13741236010672503,-0.31395604784593234,-0.6332540514650349,0.09982327968178273,0.10053619416533177,0.021899399344402826,0.10007313088810835,0.09353830567809392,0.09993091541012986,0.023475305118382698,0.4632740911983805,71.51179491607017,-9.982327968178273,-10.053619416533174,-2.189939934440284,-10.007313088810834,-9.353830567809391,-9.993091541012985,-2.34753051183827
1,-0.09982328116893768,-0.36233559250831604,-0.2617993950843811,0.0,2.3030974066610196e-16,-5.457467359000694e-17,2.3921981258716795e-16,0.4,-0.5,-0.30000000000000004,0.20659454309555442,-0.36098816840999115,-0.6037449377502706,0.10013872188497183,0.10045882104171033,0.0259674668539856,0.10007779985833089,0.06438892397863497,0.09994176554238755,0.027827559827977078,0.3859934549851099,65.45419270233305,-10.013872188497183,-10.045882104171032,-2.596746685398559,-10.00777998583309,-6.438892397863496,-9.994176554238756,-2.7827559827977075
2,-0.09982328116893768,-0.36233559250831604,-0.2836987972259522,-0.10007312893867493,-0.0935383066534996,-0.09993091225624086,-0.02347530424594879,0.4,-0.5,-0.30000000000000004,0.24574521839324054,-0.37539285128297556,-0.5785241517378862,0.09997970990048013,0.10040886549231998,0.09017869260745431,0.10049251677755483,0.0399518494085796,0.10003485116052817,0.003278763845749981,0.3419022992921293,56.126761314438944,-9.997970990048014,-10.040886549231999,-9.017869260745433,-10.049251677755484,-3.9951849408579596,-10.003485116052817,-0.32787638457499807
3,-0.19996200501918793,-0.4627944231033325,-0.28776687383651733,-0.1000778004527092,-0.06438892334699631,-0.09994176775217056,-0.027827559038996696,0.4,-0.5,-0.30000000000000004,0.3036640340149859,-0.4211943825211531,-0.5341258076411821,0.1002330445495272,0.10035346302536352,0.08792471110925654,0.10046123783680083,0.017174574983444157,0.09996734937369983,0.010834392178801867,0.26515247970200834,50.483870472521495,-10.023304454952722,-10.035346302536349,-8.792471110925655,-10.046123783680082,-1.717457498344416,-9.996734937369984,-1.0834392178801868
4,-0.19980299472808838,-0.46274444460868835,-0.37387749552726746,-0.2005656510591507,-0.1334901601076126,-0.1999657601118088,-0.026754068210721016,0.4,-0.5,-0.30000000000000004,0.3317493973291446,-0.4388569536982751,-0.4985180025929612,0.10060834135986618,0.10007994699617095,0.09971669819372098,0.10101874796327981,0.00972066874450532,0.09220534973414105,0.007732843079284672,0.21864586488083598,44.040571403116935,-10.06083413598662,-10.007994699617095,-9.9716698193721,-10.101874796327982,0.9720668744505322,-9.220534973414104,-0.7732843079284673
5,-0.3004113435745239,-0.5628243684768677,-0.37569159269332886,-0.20053903758525848,-0.08156349509954453,-0.19990912079811096,-0.03866195306181908,0.4,-0.5,-0.30000000000000004,0.3740714029919032,-0.4836396413920973,-0.4430315601777701,0.1004745016093262,0.1000553442932316,0.09985557637361275,0.10075831074538855,0.01918862567410857,0.08323180388502938,0.012432976255630813,0.14628048633865873,40.08969658060192,-10.04745016093262,-10.00553442932316,-9.985557637361275,-10.075831074538852,1.9188625674108568,-8.323180388502935,-1.2432976255630814
6,-0.3004113435745239,-0.5628243684768677,-0.47359418869018555,-0.30158439278602606,-0.12376949191093445,-0.2921711206436157,-0.034486912190914154,0.4,-0.5,-0.30000000000000004,0.3908423529029079,-0.5032090762795911,-0.3982192673964898,0.10553990307449124,0.10108326359009556,0.09701348986101621,0.1065253624212315,0.037227353436980706,0.06103156938645238,0.020414491434282728,0.0986974425141111,38.302314974552615,-10.553990307449123,-10.108326359009551,-9.701348986101623,-10.65253624212315,3.7227353436980706,-6.1031569386452365,-2.041449143428273
7,-0.40088585019111633,-0.6628797054290771,-0.4755471646785736,-0.3012973368167877,-0.06237487122416496,-0.2831409275531769,-0.051094930619001395,0.4,-0.5,-0.30000000000000004,0.40764043438967146,-0.541963272096657,-0.349328014916261,0.0704326357500108,0.10000420690941803,0.06736324139828587,0.09999737593952307,0.04057764434210863,0.05536674656745427,0.011757650141545901,0.0652115442103605,36.396991518772175,-7.043263575001082,-10.0004206909418,-6.736324139828582,-9.999737593952306,4.0577644342108625,-5.536674656745427,-1.1757650141545901
8,-0.40595126152038574,-0.6639076471328735,-0.5706076622009277,-0.4081097543239594,-0.06237487122416496,-0.2831409275531769,-0.051094930619001395,0.4,-0.5,-0.30000000000000004,0.401684874327053,-0.553221142223547,-0.3298241432874339,0.006492789771713803,0.10000409079988759,0.02720572216827133,0.09999755291715856,0.05153780151499775,0.032645693550332866,0.0044103612038516385,0.061031207622874124,36.62224170488611,-0.6492789771713777,-10.000409079988755,-2.7205722168271316,-9.999755291715854,5.153780151499775,-3.264569355033284,-0.4410361203851638
9,-0.4713184833526612,-0.7628839015960693,-0.5429103970527649,-0.4012947082519531,-0.02179722674190998,-0.33850768208503723,-0.06285258382558823,0.4,-0.5,-0.30000000000000004,0.405295546321103,-0.5607911429460413,-0.3214827584257509,0.041784486246153496,0.051936877045070995,0.013378463614688196,0.0598946017146928,0.05728446757176808,0.01774707538537379,0.009708840204661784,0.06469246309350217,33.35848207473776,4.178448624615351,-5.193687704507099,1.3378463614688245,-5.989460171469277,5.728446757176808,-1.7747075385373785,-0.9708840204661778
