Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration.1,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6,Distance
0,-0.1179671436548233,0.8874088525772096,0.3295479118824005,-0.7620424628257751,-0.2486699670553207,-0.5412565469741821,0.4997078478336334,0.4,0.5,-0.3,0.3999957358001841,0.5000201115007724,-0.3000025188096312,0.0018690895935705,0.0015000672747084,0.000184961341727,0.0010943507461174,0.00165188020872,0.0013011798716234,3.6478358022506985e-05,2.071232158273893e-05,0.0137700055694048,-0.1869089593570572,0.1500067274708447,0.0184961341727055,-0.1094350746117373,-0.165188020872003,-0.1301179871623445,0.0036478358022506,0,-0.118274800479412,-0.8890404701232911,-0.3297246098518371,-0.764029860496521,0.2493185102939605,-0.5426681637763977,-0.501011073589325,0.4,-0.5,-0.3,0.3999933493993096,-0.5000018847751483,-0.2999949476273147,0.0013536730234635,0.0001978130814762,0.0007025450926296,0.0008576132469632,0.0003023629710157,0.0002081729508268,0.0003087045334208,8.56208716692476e-06,0.003927980122512,-0.1353673023463563,-0.0197813081476305,0.0702545092629681,0.0857613246963159,0.0302362971015743,-0.0208172950826848,0.0308704533420833,1.0000219963074288
1,-0.118300549685955,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.4902,-0.3,0.3999277281641006,0.4901074825930525,-0.29987699904642,0.0246682837222843,0.0183538216424663,0.0097650173160037,0.0500018400264734,0.0158251753905875,0.0259525090519977,0.004728557259414,0.0001700350653075,0.195495809213412,2.466828372228436,-1.8353821642466368,0.9765017316003738,-5.000184002647342,1.5825175390587534,2.595250905199778,0.4728557259413988,1,-0.1196284741163253,-0.8892382979393005,-0.3290220499038696,-0.7631722688674928,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.4902,-0.3,0.3999264198893081,-0.4901130004045129,-0.2998788564492504,0.0260155361642053,0.0183567916067055,0.0103826964895685,0.0510003200917731,0.0159190726915835,0.0259188336625445,0.0048512293947811,0.0001663091163844,0.1953040822411367,2.6015536164205386,1.8356791606705565,-1.0382696489568517,-5.100032009177316,-1.591907269158354,2.591883366254456,-0.4851229394781081,0.9802204830001983
2,-0.1198362335562706,0.8889089226722718,0.3297328650951385,-0.7631368041038513,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.4804,-0.3,0.3993010927821123,0.4804579404517654,-0.2993895844147146,0.051314171513231,0.0377851626312564,0.0229203654188348,0.1019601132086982,0.0286245657761752,0.0524995788790044,0.0068545869282398,0.0009297502793361,0.3676872307539156,5.131417151323108,-3.7785162631256393,2.29203654188348,-10.196011320869829,2.862456577617523,5.249957887900441,0.68545869282398,2,-0.1196284741163253,-0.8892382979393005,-0.3290220499038696,-0.7631722688674928,0.2496208697557449,-0.5428763628005981,-0.5007023811340332,0.4,-0.4804,-0.3,0.3992908234994031,-0.4804734355247473,-0.2993909974802436,0.0511574539988667,0.0380535591508433,0.0236011837886809,0.1019031741705153,0.0288847779065641,0.0525579415219271,0.0072963289111939,0.0009376610018356,0.3666940934538729,5.115745399886674,3.8053559150843297,-2.3601183788680906,-10.190317417051528,-2.8884777906564154,5.25579415219271,-0.7296328911193873,0.9609313760324245
3,-0.0936322659254074,0.8708232045173645,0.3395044207572937,-0.8141980767250061,-0.2335475981235504,-0.5168337821960449,0.5058487057685852,0.4,0.4706,-0.3,0.3993810773736062,0.4704894191140848,-0.2994136114831429,0.0440537367807858,0.03682622313625,0.0149205397761786,0.0952995785531864,0.031388492674061,0.0524616648214653,0.0069072882927706,0.0008597353328169,0.4038142774597872,4.405373678078583,-3.682622313625003,1.4920539776178692,-9.529957855318647,3.138849267406106,5.246166482146537,0.6907288292770652,3,-0.0684710219502449,-0.8511847257614136,-0.3394047319889068,-0.8141725659370422,0.2334537059068679,-0.516867458820343,-0.505971372127533,0.4,-0.4706,-0.3,0.3995619287267834,-0.4703129213713921,-0.2993505447827886,0.0176179904830443,0.0181152704662158,0.0156224321451599,0.0949904952374475,0.0303132048801442,0.0520896493617741,0.0043197470008777,0.0008343336614233,0.4352956541336539,1.7617990483044392,1.811527046621584,-1.562243214515997,-9.499049523744754,-3.0313204880144284,5.20896493617741,-0.4319747000877832,0.9408023599819315
4,-0.0685220584273338,0.8511237502098083,0.3526532351970672,-0.865096926689148,-0.2207482159137725,-0.4902867078781128,0.5079747438430786,0.4,0.4608,-0.3,0.3994575428813633,0.4606611122185475,-0.2993170480039225,0.0328515631005556,0.0380357230833586,0.008630458562367,0.0859934840366731,0.0286578192119272,0.052716082108529,0.0009231642230578,0.00088316078397,0.4173722564418085,3.2851563100555614,-3.803572308335863,0.8630458562367043,-8.599348403667312,2.865781921192724,5.271608210852903,-0.0923164223057835,4,-0.0684710219502449,-0.8511847257614136,-0.3526232242584228,-0.8650754690170288,0.2207360863685608,-0.4903184175491333,-0.5079987049102783,0.4,-0.4608,-0.3,0.3994566543883918,-0.4606612866450043,-0.2993164003977119,0.0328150462339076,0.0380795881385422,0.0086360593937569,0.0860190933114709,0.0286764882164766,0.0527394614656199,0.0009072149653682,0.0008841799956776,0.4175615292513726,3.2815046233907683,3.80795881385423,-0.8636059393756949,-8.601909331147098,-2.8676488216476668,5.273946146561994,0.0907214965368275,0.9213223988642077
5,-0.0495785288512706,0.8339969515800477,0.3544249534606933,-0.9094976782798768,-0.2021591067314148,-0.4643721282482147,0.5127559900283813,0.4,0.451,-0.3,0.3995333795332867,0.4507999375071394,-0.2993154707546535,0.0276761036614839,0.0371582080244922,0.0040539259482891,0.0802146131021209,0.0279452180844551,0.0506919421400288,0.0035164320187766,0.0008522558000623,0.4321838772517026,2.767610366148395,-3.71582080244922,0.4053925948289112,-8.021461310212095,2.7945218084455115,5.069194214002882,-0.3516432018776641,5,-0.0356559753417968,-0.8131051659584045,-0.3612592816352844,-0.9510945677757264,0.2031404972076416,-0.464777797460556,-0.5102910995483398,0.4,-0.451,-0.3,0.3998447789508215,-0.4506107361112666,-0.2995322527398288,0.0105625121790694,0.0189310688847141,0.0003820521475719,0.0369693879584008,0.0245667992583819,0.0516036697317647,0.0075675942771359,0.0006280186689722,0.414653231783916,1.056251217906948,1.893106888471423,0.0382052147571958,-3.696938795840088,-2.456679925838189,5.1603669731764805,0.7567594277135957,0.9014107534732514
6,-0.0356704965233802,0.8130879998207092,0.3612836897373199,-0.951090395450592,-0.1920903921127319,-0.4375706315040589,0.5070515871047974,0.4,0.4412,-0.3,0.3995950755857117,0.4409556120751284,-0.29930901810083,0.0232534917796502,0.0365525295264262,0.0005653365700988,0.0749622176849049,0.0273248284958608,0.0484509982765164,0.0058841692621595,0.0008373441491348,0.4368270271762071,2.325349177965028,-3.6552529526426265,-0.0565336570098867,-7.496221768490497,2.7324828495860856,4.845099827651645,-0.5884169262159492,6,-0.0250934623181819,-0.794174075126648,-0.3608772158622741,-0.9880639314651488,0.1785736978054046,-0.4131741225719452,-0.5027235150337219,0.4,-0.4412,-0.3,0.3999445191453285,-0.4410167526482193,-0.2997590401988556,0.0104327253694544,0.0180981060897453,0.0013502743691861,0.0360094307503831,0.0147689827856494,0.0265890355878766,0.0040982075993791,0.0003077650775141,0.2300593522475651,1.0432725369454492,1.8098106089745345,0.1350274369186105,-3.600943075038305,-1.4768982785649438,2.658903558787663,0.4098207599379178,0.8819725487600983
7,-0.0219024252146482,0.7968387603759766,0.3584788739681244,-0.9897122979164124,-0.1742138862609863,-0.4136801958084107,0.5092395544052124,0.4,0.4314,-0.3,0.399637102266676,0.4310613704241081,-0.2993501217608482,0.020353098607112,0.034457643912069,0.0061999847534575,0.0705315305021192,0.0290939226507263,0.0464619382617041,0.0056346695244554,0.0008177447525013,0.4437491222861354,2.035309860711201,-3.4457643912069025,-0.6199984753457497,-7.053153050211925,2.909392265072632,4.646193826170416,-0.5634669524455481,7,-0.0250934623181819,-0.794174075126648,-0.3608772158622741,-0.9880639314651488,0.1785736978054046,-0.4131741225719452,-0.5027235150337219,0.4,-0.4314,-0.3,0.3996311871533548,-0.4310845482554006,-0.2993633576497893,0.0221614396995935,0.0344513194049871,0.0046673450404123,0.0720682091795079,0.0287701177148082,0.0465692795502751,0.0044345273339151,0.0008005287009865,0.4397225785995147,2.216143969959357,3.445131940498719,0.4667345040412355,-7.206820917950789,-2.877011771480822,4.656927955027512,0.4434527333915164,0.8621459188014006
8,-0.0219024252146482,0.7968387603759766,0.3584788739681244,-0.9897122979164124,-0.1742138862609863,-0.4136801958084107,0.5092395544052124,0.4,0.4216,-0.3,0.399070369650926,0.4213374631192698,-0.2986265529866764,0.0304978327658171,0.0533988210014385,0.0053696325104108,0.1064583478582243,0.0385935784779797,0.0672345529861488,0.010659643309501,0.0016791351637287,0.6611521685125581,3.0497832765817177,-5.339882100143851,-0.53696325104109,-10.645834785822435,3.85935784779797,6.723455298614886,-1.0659643309501048,8,-0.0250934623181819,-0.794174075126648,-0.3608772158622741,-0.9880639314651488,0.1785736978054046,-0.4131741225719452,-0.5027235150337219,0.4,-0.4216,-0.3,0.3990553171497872,-0.4213739931995372,-0.2986439916337873,0.0323140954858257,0.0534841040429441,0.0038260773597423,0.1079909371211278,0.0382994153816896,0.0672837502784009,0.009402725735353,0.0016680118256716,0.6543798343446952,3.2314095485825707,5.348410404294418,0.3826077359742395,-10.799093712112796,-3.829941538168968,6.728375027840095,0.9402725735353048,0.842711456633674
9,-0.012417004443705,0.7765354514122009,0.3607183396816253,-1.0260525941848757,-0.1647655665874481,-0.3891196250915527,0.5011674165725708,0.4,0.4118,-0.3,0.3991834896319147,0.4114666499416956,-0.2986241319492634,0.0253803698329438,0.0527516310186472,0.010427200624513,0.1000406467626244,0.0381703724356161,0.0641136352195889,0.0132117084153388,0.0016342656869676,0.6829152665891911,2.538036983294386,-5.275163101864721,-1.0427200624512996,-10.004064676262448,3.817037243561616,6.411363521958889,-1.3211708415338883,9,-0.0029320225585252,-0.7597227692604065,-0.3562098741531372,-1.0601321458816528,0.1638047099113464,-0.3865850865840912,-0.4986253082752228,0.4,-0.4118,-0.3,0.3995259359613295,-0.4113239387126551,-0.2991038472761499,0.0134907889463017,0.036629252755392,0.0069133933692541,0.0633383820029132,0.0362762674228594,0.0614879216453407,0.0141348492964735,0.0011200271275879,0.6048480123617992,1.3490788946301706,3.662925275539213,0.6913393369254124,-6.333838200291315,-3.627626742285943,6.148792164534071,1.4134849296473582,0.8227907997628902
