Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
0,-0.1179671436548233,0.8874088525772096,0.3295479118824005,-0.7620424628257751,-0.24866996705532074,-0.5412565469741821,0.4997078478336334,0.4,0.5,-0.30000000000000004,0.3999957358001841,0.5000201115007724,-0.3000025188096312,0.001869089593570572,0.0015000672747084165,0.00018496134172707457,0.0010943507461174118,0.0016518802087200357,0.0013011798716234813,3.6478358022506985e-05,2.0712321582738934e-05,0.013770005569404825,-0.18690895935705723,0.15000672747084473,0.018496134172705528,-0.10943507461173736,-0.16518802087200304,-0.1301179871623445,0.003647835802250695
1,-0.11830054968595505,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.4902,-0.30000000000000004,0.39992772816410066,0.4901074825930525,-0.29987699904642,0.024668283722284357,0.01835382164246635,0.00976501731600371,0.050001840026473454,0.01582517539058753,0.025952509051997752,0.004728557259414012,0.00017003506530759881,0.19549580921341203,2.466828372228436,-1.8353821642466368,0.9765017316003738,-5.000184002647342,1.5825175390587534,2.595250905199778,0.4728557259413988
2,-0.1198362335562706,0.8889089226722718,0.32973286509513855,-0.7631368041038513,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.4804,-0.30000000000000004,0.3993010927821123,0.4804579404517654,-0.29938958441471464,0.05131417151323109,0.03778516263125642,0.0229203654188348,0.10196011320869824,0.028624565776175226,0.052499578879004416,0.006854586928239814,0.0009297502793361639,0.36768723075391563,5.131417151323108,-3.7785162631256393,2.29203654188348,-10.196011320869829,2.862456577617523,5.249957887900441,0.68545869282398
3,-0.09363226592540741,0.8708232045173645,0.3395044207572937,-0.8141980767250061,-0.23354759812355042,-0.5168337821960449,0.5058487057685852,0.4,0.4706,-0.30000000000000004,0.3993810773736062,0.4704894191140848,-0.29941361148314294,0.04405373678078583,0.03682622313625006,0.014920539776178687,0.09529957855318649,0.031388492674061075,0.05246166482146536,0.0069072882927706525,0.000859735332816981,0.40381427745978726,4.405373678078583,-3.682622313625003,1.4920539776178692,-9.529957855318647,3.138849267406106,5.246166482146537,0.6907288292770652
4,-0.06852205842733383,0.8511237502098083,0.35265323519706726,-0.865096926689148,-0.22074821591377258,-0.4902867078781128,0.5079747438430786,0.4,0.4608,-0.30000000000000004,0.39945754288136337,0.4606611122185475,-0.29931704800392256,0.03285156310055561,0.038035723083358675,0.00863045856236705,0.08599348403667317,0.028657819211927227,0.05271608210852902,0.0009231642230578263,0.0008831607839700512,0.41737225644180853,3.2851563100555614,-3.803572308335863,0.8630458562367043,-8.599348403667312,2.8657819211927236,5.271608210852903,-0.09231642230578353
5,-0.04957852885127068,0.8339969515800477,0.35442495346069336,-0.9094976782798767,-0.20215910673141482,-0.4643721282482147,0.5127559900283813,0.4,0.451,-0.30000000000000004,0.3995333795332867,0.4507999375071394,-0.29931547075465353,0.02767610366148395,0.03715820802449221,0.004053925948289128,0.08021461310212097,0.027945218084455103,0.05069194214002881,0.003516432018776605,0.0008522558000623993,0.4321838772517026,2.767610366148395,-3.7158208024492203,0.40539259482891127,-8.021461310212095,2.7945218084455115,5.069194214002882,-0.3516432018776641
6,-0.03567049652338028,0.8130879998207092,0.36128368973731995,-0.951090395450592,-0.19209039211273193,-0.4375706315040589,0.5070515871047974,0.4,0.4412,-0.30000000000000004,0.3995950755857117,0.44095561207512846,-0.29930901810083005,0.023253491779650276,0.03655252952642629,0.0005653365700988844,0.07496221768490496,0.027324828495860848,0.048450998276516444,0.005884169262159511,0.0008373441491348144,0.43682702717620714,2.3253491779650277,-3.6552529526426265,-0.05653365700988676,-7.496221768490497,2.7324828495860856,4.845099827651645,-0.5884169262159492
7,-0.02190242521464825,0.7968387603759766,0.3584788739681244,-0.9897122979164124,-0.17421388626098633,-0.4136801958084107,0.5092395544052124,0.4,0.4314,-0.30000000000000004,0.399637102266676,0.43106137042410814,-0.2993501217608482,0.02035309860711201,0.03445764391206907,0.00619998475345751,0.07053153050211924,0.029093922650726328,0.04646193826170414,0.00563466952445546,0.000817744752501386,0.4437491222861354,2.035309860711201,-3.4457643912069025,-0.6199984753457497,-7.053153050211925,2.909392265072632,4.646193826170416,-0.5634669524455481
8,-0.02190242521464825,0.7968387603759766,0.3584788739681244,-0.9897122979164124,-0.17421388626098633,-0.4136801958084107,0.5092395544052124,0.4,0.4216,-0.30000000000000004,0.39907036965092607,0.42133746311926984,-0.2986265529866764,0.030497832765817176,0.05339882100143856,0.005369632510410893,0.10645834785822439,0.0385935784779797,0.06723455298614883,0.010659643309501032,0.0016791351637287907,0.6611521685125581,3.0497832765817177,-5.339882100143851,-0.53696325104109,-10.645834785822435,3.8593578477979706,6.723455298614886,-1.0659643309501048
9,-0.012417004443705082,0.7765354514122009,0.36071833968162537,-1.0260525941848755,-0.16476556658744815,-0.38911962509155273,0.5011674165725708,0.4,0.4118,-0.30000000000000004,0.39918348963191475,0.41146664994169563,-0.29862413194926346,0.02538036983294386,0.052751631018647216,0.010427200624513022,0.10004064676262447,0.03817037243561616,0.0641136352195889,0.013211708415338863,0.001634265686967688,0.6829152665891911,2.538036983294386,-5.275163101864721,-1.0427200624512996,-10.004064676262447,3.8170372435616162,6.411363521958889,-1.3211708415338885
10,0.00859540794044733,0.7434399127960205,0.3531092405319214,-1.0961706638336182,-0.13562031090259552,-0.34644564986228943,0.4985799193382263,0.4,0.402,-0.30000000000000004,0.3997351162380325,0.401579959934602,-0.29923536060791084,0.0074758726512481055,0.034141712071163344,0.015942075305281855,0.05526787364194852,0.027795364989549848,0.042975952681911955,0.01569662758742668,0.0009117403489087272,0.48843354657140026,0.7475872651248107,-3.4141712071163335,-1.594207530528188,-5.526787364194847,2.7795364989549842,4.2975952681911975,-1.5696627587426668
11,0.012963365763425827,0.7237837910652161,0.3502911329269409,-1.1260932683944702,-0.12659519910812378,-0.32500597834587097,0.4879557192325592,0.4,0.3922,-0.30000000000000004,0.39975337692989243,0.3917622094903631,-0.299228927290537,0.005657315867151708,0.03385994898664124,0.017928300962245736,0.05216361126784674,0.02801070693321095,0.041422408495987606,0.017071422603033293,0.0009203459090559742,0.49956192162886737,0.5657315867151707,-3.3859948986641264,-1.792830096224576,-5.216361126784664,2.8010706933210945,4.142240849598762,-1.707142260303328
12,0.01607128046452999,0.7092981934547424,0.3371671736240387,-1.1514385938644411,-0.10782494395971298,-0.3034696877002716,0.48288330435752874,0.4,0.3824,-0.30000000000000004,0.3997803018461641,0.38200151541238764,-0.2992806073537027,0.006301923232796033,0.03331028395669866,0.017480191815899715,0.051763887131485165,0.026635548975934453,0.038327875716886506,0.01640860393884308,0.0008512244268759021,0.484876113023347,0.6301923232796032,-3.331028395669866,-1.7480191815899715,-5.176388713148517,2.6635548975934453,3.832787571688649,-1.6408603938843092
