Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,-0.11827480047941208,-0.8890404701232911,-0.32972460985183716,-0.764029860496521,0.24931851029396057,-0.5426681637763977,-0.501011073589325,0.4,-0.5,-0.30000000000000004,0.39999334939930964,-0.5000018847751483,-0.2999949476273147,0.001353673023463564,0.0001978130814762613,0.0007025450926296806,0.000857613246963207,0.0003023629710157405,0.00020817295082686815,0.0003087045334208005,8.56208716692476e-06,0.003927980122512054,-0.13536730234635638,-0.019781308147630523,0.07025450926296811,0.08576132469631591,0.030236297101574387,-0.020817295082684893,0.030870453342083302
1,-0.11962847411632538,-0.8892382979393005,-0.32902204990386963,-0.7631722688674928,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.4902,-0.30000000000000004,0.39992641988930816,-0.49011300040451294,-0.2998788564492504,0.02601553616420539,0.018356791606705558,0.010382696489568521,0.05100032009177313,0.015919072691583547,0.02591883366254455,0.004851229394781109,0.00016630911638445251,0.1953040822411367,2.6015536164205386,1.8356791606705565,-1.0382696489568517,-5.1000320091773155,-1.591907269158354,2.5918833662544554,-0.48512293947810814
2,-0.11962847411632538,-0.8892382979393005,-0.32902204990386963,-0.7631722688674928,0.24962086975574493,-0.5428763628005981,-0.5007023811340332,0.4,-0.4804,-0.30000000000000004,0.39929082349940315,-0.4804734355247473,-0.2993909974802436,0.051157453998866745,0.0380535591508433,0.023601183788680924,0.10190317417051531,0.028884777906564157,0.05255794152192711,0.007296328911193917,0.000937661001835644,0.36669409345387294,5.115745399886674,3.8053559150843297,-2.3601183788680906,-10.190317417051528,-2.8884777906564154,5.25579415219271,-0.7296328911193873
3,-0.0684710219502449,-0.8511847257614136,-0.33940473198890686,-0.8141725659370422,0.23345370590686798,-0.516867458820343,-0.505971372127533,0.4,-0.4706,-0.30000000000000004,0.3995619287267834,-0.4703129213713921,-0.29935054478278866,0.017617990483044396,0.01811527046621586,0.015622432145159959,0.09499049523744751,0.030313204880144273,0.052089649361774126,0.004319747000877783,0.0008343336614233605,0.4352956541336539,1.7617990483044392,1.8115270466215836,-1.562243214515997,-9.499049523744754,-3.0313204880144284,5.20896493617741,-0.43197470008778327
4,-0.0684710219502449,-0.8511847257614136,-0.35262322425842285,-0.8650754690170288,0.2207360863685608,-0.4903184175491333,-0.5079987049102783,0.4,-0.4608,-0.30000000000000004,0.39945665438839184,-0.46066128664500433,-0.2993164003977119,0.032815046233907685,0.038079588138542286,0.008636059393756945,0.08601909331147095,0.02867648821647667,0.05273946146561992,0.0009072149653682748,0.0008841799956776487,0.4175615292513726,3.2815046233907683,3.80795881385423,-0.8636059393756949,-8.601909331147098,-2.8676488216476668,5.273946146561994,0.09072149653682751
5,-0.03565597534179688,-0.8131051659584045,-0.3612592816352844,-0.9510945677757263,0.2031404972076416,-0.46477779746055603,-0.5102910995483398,0.4,-0.451,-0.30000000000000004,0.3998447789508215,-0.4506107361112666,-0.2995322527398288,0.010562512179069478,0.018931068884714186,0.00038205214757197625,0.03696938795840088,0.0245667992583819,0.05160366973176478,0.007567594277135936,0.0006280186689722101,0.414653231783916,1.0562512179069479,1.893106888471423,0.038205214757195884,-3.6969387958400883,-2.4566799258381895,5.1603669731764805,0.7567594277135957
6,-0.02509346231818199,-0.794174075126648,-0.36087721586227417,-0.9880639314651489,0.17857369780540466,-0.4131741225719452,-0.5027235150337219,0.4,-0.4412,-0.30000000000000004,0.3999445191453285,-0.4410167526482193,-0.2997590401988556,0.010432725369454492,0.01809810608974538,0.0013502743691861108,0.0360094307503831,0.014768982785649448,0.02658903558787662,0.004098207599379178,0.00030776507751414223,0.23005935224756513,1.0432725369454492,1.8098106089745343,0.13502743691861055,-3.600943075038305,-1.4768982785649438,2.658903558787663,0.40982075993791783
7,-0.02509346231818199,-0.794174075126648,-0.36087721586227417,-0.9880639314651489,0.17857369780540466,-0.4131741225719452,-0.5027235150337219,0.4,-0.4314,-0.30000000000000004,0.3996311871533548,-0.43108454825540066,-0.2993633576497893,0.022161439699593572,0.034451319404987135,0.0046673450404123296,0.07206820917950796,0.028770117714808224,0.04656927955027512,0.004434527333915139,0.00080052870098654,0.4397225785995147,2.216143969959357,3.445131940498719,0.46673450404123557,-7.206820917950789,-2.877011771480822,4.656927955027512,0.4434527333915164
8,-0.02509346231818199,-0.794174075126648,-0.36087721586227417,-0.9880639314651489,0.17857369780540466,-0.4131741225719452,-0.5027235150337219,0.4,-0.4216,-0.30000000000000004,0.39905531714978726,-0.4213739931995372,-0.2986439916337873,0.03231409548582571,0.053484104042944125,0.003826077359742386,0.10799093712112784,0.03829941538168968,0.06728375027840094,0.009402725735353057,0.0016680118256716535,0.6543798343446952,3.2314095485825707,5.348410404294418,0.3826077359742395,-10.799093712112795,-3.8299415381689674,6.728375027840095,0.9402725735353048
9,-0.0029320225585252047,-0.7597227692604065,-0.3562098741531372,-1.0601321458816528,0.16380470991134644,-0.3865850865840912,-0.4986253082752228,0.4,-0.4118,-0.30000000000000004,0.39952593596132957,-0.41132393871265516,-0.2991038472761499,0.013490788946301707,0.03662925275539208,0.006913393369254117,0.0633383820029132,0.03627626742285944,0.061487921645340726,0.014134849296473573,0.0011200271275879773,0.6048480123617992,1.3490788946301706,3.662925275539213,0.6913393369254124,-6.333838200291315,-3.6276267422859427,6.148792164534071,1.4134849296473582
