Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
0,-0.118300549685955,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.3,0.4000000909396212,0.4999997403294541,-0.2999999418747554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8120695427393266e-07,7.246521704473707e-05,0,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.3,0.4000000993227536,-0.5000000346593952,-0.2999996775262862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391984361768772e-07,6.151911611596006e-05
1,-0.118300549685955,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.4902,-0.3,0.4000000821190214,0.490199745598859,-0.2999999397669127,0.0267008990049362,0.0177403092384338,0.0083748996257781,0.0519260168075562,0.0210627317428588,0.0290380716323852,0.008955955505371,2.7402828139265137e-07,7.196050813718102e-05,1,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.4902,-0.3,0.4000000951594504,-0.4902000246942618,-0.2999996803523686,0.0267008990049362,0.0177403092384338,0.0083748996257781,0.0519260168075562,0.0210627317428588,0.0290380716323852,0.008955955505371,3.3442448446354493e-07,6.222598477734209e-05
2,-0.0915996506810188,0.8714367151260376,0.3381142914295196,-0.8161222338676454,-0.2283100485801697,-0.5137482285499573,0.510076105594635,0.4,0.4804,-0.3,0.4000000771977505,0.4803997402919428,-0.2999999397604859,0.0228137150406837,0.0170290470123291,0.0046135187149047,0.047893702983856,0.0203373283147811,0.0275067090988159,0.0072096586227416,2.7755461930561094e-07,7.222339695545088e-05,2,-0.0915996506810188,-0.8714367151260376,-0.3381142914295196,-0.8161222338676454,0.2283100485801697,-0.5137482285499573,-0.510076105594635,0.4,-0.4804,-0.3,0.4000000938121656,-0.4804000057777963,-0.2999996859067249,0.0228137150406837,0.0170290470123291,0.0046135187149047,0.047893702983856,0.0203373283147811,0.0275067090988159,0.0072096586227416,3.278546793608172e-07,5.998329527301394e-05
3,-0.068785935640335,0.8544076681137085,0.3427278101444244,-0.8640159368515015,-0.2079727202653885,-0.4862415194511413,0.5172857642173767,0.4,0.4706,-0.3,0.400000073072863,0.4705997412647283,-0.2999999312644812,0.0196123197674751,0.0163501501083374,0.0014741420745849,0.0444562435150146,0.0198025405406952,0.0262224376201629,0.0057048797607421,2.775034335841635e-07,7.236455684278553e-05,3,-0.068785935640335,-0.8544076681137085,-0.3427278101444244,-0.8640159368515015,0.2079727202653885,-0.4862415194511413,-0.5172857642173767,0.4,-0.4706,-0.3,0.4000000923925607,-0.4705999945598443,-0.2999996834724042,0.0196123197674751,0.0163501501083374,0.0014741420745849,0.0444562435150146,0.0198025405406952,0.0262224376201629,0.0057048797607421,3.297812903608213e-07,5.944619346109903e-05
4,-0.0491736158728599,0.8380575180053711,0.3442019522190094,-0.908472180366516,-0.1881701797246933,-0.4600190818309784,0.5229906439781189,0.4,0.4608,-0.3,0.4000000685838717,0.4607997483219276,-0.2999999234817621,0.0169158540666103,0.0157039165496825,0.0012036561965941,0.0414593815803528,0.0194110572338103,0.0251192152500152,0.0043803453445434,2.718467220311466e-07,7.089920597991295e-05,4,-0.0491736158728599,-0.8380575180053711,-0.3442019522190094,-0.908472180366516,0.1881701797246933,-0.4600190818309784,-0.5229906439781189,0.4,-0.4608,-0.3,0.4000000899016386,-0.4607999906826727,-0.2999996821642216,0.0169158540666103,0.0157039165496825,0.0012036561965941,0.0414593815803528,0.0194110572338103,0.0251192152500152,0.0043803453445434,3.3043713354203493e-07,6.106720076104466e-05
5,-0.0322577618062496,0.8223536014556886,0.3429982960224152,-0.949931561946869,-0.1687591224908829,-0.4348998665809631,0.5273709893226624,0.4,0.451,-0.3,0.4000000620824577,0.4509997474724554,-0.2999999259458435,0.0146006196737289,0.0150897502899171,0.0035293996334076,0.0387983322143553,0.0191306173801422,0.0241521000862121,0.0031947493553161,2.703856697800158e-07,7.15541779072737e-05,5,-0.0322577618062496,-0.8223536014556886,-0.3429982960224152,-0.949931561946869,0.1687591224908829,-0.4348998665809631,-0.5273709893226624,0.4,-0.451,-0.3,0.4000000848161965,-0.4509999800250145,-0.2999996914524573,0.0146006196737289,0.0150897502899171,0.0035293996334076,0.0387983322143553,0.0191306173801422,0.0241521000862121,0.0031947493553161,3.2061561616562146e-07,5.835716183355544e-05
6,-0.0176571421325206,0.8072638511657715,0.3394688963890075,-0.9887298941612244,-0.1496285051107406,-0.410747766494751,0.5305657386779785,0.4,0.4412,-0.3,0.4000000582201122,0.4411997602796284,-0.2999999115573611,0.0125789088197052,0.0145066380500793,0.0055805146694182,0.0363989472389221,0.0189384073019027,0.023289144039154,0.0021188855171203,2.620639967029145e-07,6.957076595881517e-05,6,-0.0176571421325206,-0.8072638511657715,-0.3394688963890075,-0.9887298941612244,0.1496285051107406,-0.410747766494751,-0.5305657386779785,0.4,-0.4412,-0.3,0.4000000818871397,-0.4411999840444176,-0.2999996841912026,0.0125789088197052,0.0145066380500793,0.0055805146694182,0.0363989472389221,0.0189384073019027,0.023289144039154,0.0021188855171203,3.266424356569066e-07,6.128168132590872e-05
7,-0.0050782333128154,0.7927572131156921,0.3338883817195893,-1.0251288414001465,-0.1306900978088379,-0.3874586224555969,0.5326846241950989,0.4,0.4314,-0.3,0.4000000543890499,0.4313997723025576,-0.2999999019033005,0.0107867424376308,0.0139538049697874,0.0074132084846496,0.0342071056365966,0.0188175961375236,0.0225070118904113,0.0011321902275085,2.538252478516049e-07,6.881224913968254e-05,7,-0.0050782333128154,-0.7927572131156921,-0.3338883817195893,-1.0251288414001465,0.1306900978088379,-0.3874586224555969,-0.5326846241950989,0.4,-0.4314,-0.3,0.400000078587526,-0.4313999882131164,-0.2999996819325726,0.0107867424376308,0.0139538049697874,0.0074132084846496,0.0342071056365966,0.0188175961375236,0.0225070118904113,0.0011321902275085,3.278441981252494e-07,6.0660001736323466e-05
8,0.0057085091248154,0.7788034081459047,0.3264751732349396,-1.0593359470367432,-0.1118725016713142,-0.3649516105651855,0.5338168144226074,0.4,0.4216,-0.3,0.4000000479843889,0.4215997740163534,-0.2999999107540869,0.0091763380914926,0.0134305357933044,0.0090691149234772,0.0321822166442871,0.0187554508447646,0.0217880010604858,0.0002191662788391,2.47660943838894e-07,6.847243349739074e-05,8,0.0057085091248154,-0.7788034081459047,-0.3264751732349396,-1.0593359470367432,0.1118725016713142,-0.3649516105651855,-0.5338168144226074,0.4,-0.4216,-0.3,0.4000000723796186,-0.4215999829341055,-0.2999996984202847,0.0091763380914926,0.0134305357933044,0.0090691149234772,0.0321822166442871,0.0187554508447646,0.0217880010604858,0.0002191662788391,3.1061290802718337e-07,5.820707889370169e-05
9,0.0148848472163081,0.7653728723526002,0.3174060583114624,-1.0915181636810305,-0.0931170508265495,-0.3431636095046997,0.5340359807014465,0.4,0.4118,-0.3,0.4000000409019211,0.4117997769226074,-0.2999999120338451,0.007711331360042,0.0129363536834717,0.0105794966220855,0.0302932262420654,0.0187420025467872,0.0211184918880462,0.0006315112113952,2.432581645472264e-07,6.817370535827649e-05,9,0.0148848472163081,-0.7653728723526002,-0.3174060583114624,-1.0915181636810305,0.0931170508265495,-0.3431636095046997,-0.5340359807014465,0.4,-0.4118,-0.3,0.4000000652160945,-0.411799979648507,-0.2999997075575958,0.007711331360042,0.0129363536834717,0.0105794966220855,0.0302932262420654,0.0187420025467872,0.0211184918880462,0.0006315112113952,3.003163032218732e-07,5.783016740679159e-05
10,0.0225961785763502,0.7524365186691284,0.3068265616893768,-1.1218113899230957,-0.0743750482797622,-0.3220451176166535,0.5334044694900513,0.4,0.402,-0.3,0.4000000435826557,0.4019997696364998,-0.2999998914370194,0.0063636247068643,0.0124709606170653,0.0119684338569641,0.0285158157348635,0.0187692232429981,0.0204877853393555,0.0014283657073974,2.5836545989169604e-07,6.940292308854623e-05,10,0.0225961785763502,-0.7524365186691284,-0.3068265616893768,-1.1218113899230957,0.0743750482797622,-0.3220451176166535,-0.5334044694900513,0.4,-0.402,-0.3,0.40000006758713,-0.4019999669203941,-0.2999996950223395,0.0063636247068643,0.0124709606170653,0.0119684338569641,0.0285158157348635,0.0187692232429981,0.0204877853393555,0.0014283657073974,3.141236282908825e-07,5.900311009554571e-05
11,0.0289598032832145,0.7399655580520631,0.2948581278324127,-1.1503272056579592,-0.0556058250367641,-0.301557332277298,0.5319761037826538,0.4,0.3922,-0.3,0.400000041454959,0.3921997677810619,-0.2999998785999205,0.0051112435758113,0.0120345354080201,0.013254165649414,0.0268305540084836,0.0188305340707302,0.0198871791362762,0.0021778345108032,2.652963024928326e-07,7.042468251938772e-05,11,0.0289598032832145,-0.7399655580520631,-0.2948581278324127,-1.1503272056579592,0.0556058250367641,-0.301557332277298,-0.5319761037826538,0.4,-0.3922,-0.3,0.4000000649643409,-0.392199960329203,-0.2999996904371931,0.0051112435758113,0.0120345354080201,0.013254165649414,0.0268305540084836,0.0188305340707302,0.0198871791362762,0.0021778345108032,3.187840477876811e-07,5.927427685037401e-05
