Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,-0.1182970255613327,0.8891583681106567,0.3297373652458191,-0.7641734480857849,-0.249365359544754,-0.5427701473236084,0.5011052489280701,0.4,0.5,-0.3,0.399815840574464,0.4999985358368836,-0.3000146020834157,0.0001371373983615,1.4538678547837414e-05,8.815853861759981e-05,0.0001083462466265,1.927495056444628e-05,1.986876366943946e-05,3.280003837335954e-05,0.0001847432234953,0.0022512643094775,-0.001371373983615,0.0001453867854782,-0.0008815853861762,0.0010834624662659,-0.0001927495056444,-0.0001986876366948,-0.0003280003837339,0,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.3,0.3998200866970066,-0.4999999719324952,-0.2999997064682195,0.0001366970628304,1.2834728926325312e-05,8.885155514137821e-05,0.0001106609568334,1.8006981579055115e-05,1.840055933510776e-05,3.360376186034575e-05,0.0001799135446337,5.45346872513619e-05,-0.001366970628304,-0.0001283472892631,0.0008885155514138,0.0011066095683344,0.0001800698157904,-0.0001840055933514,0.000336037618603
1,-0.1184341609477996,0.889172911643982,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.29,0.3998469215605253,0.4999960878966115,-0.2989631305171799,0.0029427431756847,0.0005524309858916,0.0024458908619222,0.0054181109490326,2.7193881806164555e-05,0.0035707860920458,0.0018470165134859,0.0089644384643537,0.0069121991071483,0.0294274317568478,0.0055243098589162,0.0244589086192222,-0.0541811094903264,0.0002719388180617,0.0357078609204588,0.0184701651348598,1,-0.1184372454881668,-0.8891898393630981,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.29,0.3998481241728824,-0.5000013272819864,-0.2989561954610211,0.0029430746846737,0.0005507749979001,0.0024457771855957,0.005418000776455,2.732599122401425e-05,0.0035707016674778,0.0018472600805424,0.0089574831936517,0.0071279712330465,0.029430746846737,-0.0055077499790012,-0.0244577718559575,-0.0541800077645509,-0.0002732599122402,0.0357070166747786,-0.0184726008054251
2,-0.1154914200305938,0.8897253274917603,0.3321852684020996,-0.7696143388748169,-0.2493846416473388,-0.5427899956703186,0.5010724663734436,0.4,0.5,-0.28,0.3998547847959269,0.4998311214021699,-0.296780058065709,0.0056596170189889,0.0010200466899891,0.00475832462925,0.0103358113254931,1.7290387965829268e-05,0.0071394113485963,0.0036670656624164,0.0167815361670159,0.2120700966091249,0.0565961701898899,0.0102004668998908,0.0475832462924999,-0.1033581132549307,0.0001729038796583,0.0713941134859627,0.036670656624165,2,-0.1184372454881668,-0.8891898393630981,-0.3296505510807037,-0.7640855312347412,0.2493907809257507,-0.5428047180175781,-0.5010865330696106,0.4,-0.5,-0.28,0.3998338302811066,-0.49999312864762,-0.2979927246722158,0.0060110305319436,0.0010906794465945,0.0049887500029678,0.010959611371458,7.644138906759412e-05,0.007161931770344,0.0037338703550703,0.0179934932884396,0.0008467179344506,0.0601103053194366,-0.010906794465946,-0.0498875000296781,-0.1095961137145811,-0.000764413890676,0.0716193177034409,-0.0373387035507031
3,-0.1154914200305938,0.8897253274917603,0.3321852684020996,-0.7696143388748169,-0.2493455857038498,-0.5392155051231384,0.5029671788215637,0.4,0.5,-0.27,0.3998532066582275,0.4999820099834122,-0.2960522596948092,0.0086752175202464,0.001588679374797,0.0072160204750507,0.0157890321800105,7.41058581495424e-05,0.0103286836388218,0.0053908081258952,0.0260526794616535,0.0064413871501756,0.0867521752024646,0.0158867937479696,0.0721602047505077,-0.1578903218001056,0.0007410585814952,0.1032868363882183,0.0539080812589519,3,-0.1154941692948341,-0.8897405862808228,-0.3321851789951324,-0.7696142196655273,0.249345451593399,-0.539215624332428,-0.5029674172401428,0.4,-0.5,-0.27,0.3998542741028724,-0.4999867131615889,-0.2960460211466626,0.0086755465403956,0.0015872263721101,0.007216003702021,0.0157888264494541,7.420383600198477e-05,0.0103285637416901,0.005391019514351,0.0260464321961677,0.0068387919260999,0.086755465403956,-0.0158722637211013,-0.0721600370202099,-0.1578882644945408,-0.0007420383600199,0.1032856374169014,-0.0539101951435101
4,-0.109831802546978,0.8907454013824463,0.3369435966014862,-0.7799501419067384,-0.249367356300354,-0.5356506109237671,0.50473952293396,0.4,0.5,-0.26,0.3998495401844896,0.4998216115874681,-0.2930788180752425,0.0109155171473545,0.0020275994239294,0.0092049073671474,0.0199314509892275,1.6625045402923755e-05,0.0134170077963693,0.0069576149960571,0.0330796412591914,0.1927315312870519,0.1091551714735457,0.0202759942392953,0.0920490736714738,-0.1993145098922752,-0.0001662504540292,0.1341700779636935,0.0695761499605718,4,-0.1124262139201164,-0.890280544757843,-0.334639310836792,-0.7750451564788818,0.2493143379688263,-0.5356428027153015,-0.5048204064369202,0.4,-0.5,-0.26,0.3998353049473527,-0.4999687943561737,-0.2941688932113683,0.0112638756464939,0.0020935260098445,0.0094181718205796,0.0205392120822327,4.858350765729602e-05,0.0134575011523,0.0070318890085492,0.03416930437604,0.0036484304341684,0.1126387564649395,-0.0209352600984458,-0.0941817182057966,-0.2053921208223273,-0.0004858350765728,0.134575011523,-0.0703188900854918
5,-0.1068162024021148,0.8913140296936036,0.3369435966014862,-0.7799501419067384,-0.249367356300354,-0.5356506109237671,0.5083580017089844,0.4,0.5,-0.25,0.3992391488733588,0.4999969929779498,-0.2926923354597966,0.0136435697794628,0.0025976751258732,0.0115938169310215,0.0253039676170334,0.0001322255628326,0.0168808719612336,0.0086264150121487,0.0426991148677686,0.1088993782877878,0.1364356977946289,0.0259767512587323,0.1159381693102153,-0.2530396761703347,0.0013222556283267,0.1688087196123367,0.0862641501214873,5,-0.1068186238408088,-0.8913277983665467,-0.3394011855125427,-0.7854030728340149,0.2492712438106537,-0.5288870334625244,-0.5083584189414978,0.4,-0.5,-0.25,0.3998468400377244,-0.4999512117257996,-0.291406870845222,0.0133853972194299,0.0025731094902551,0.0112870096208965,0.024506877677849,6.619704370086632e-05,0.0161435886663057,0.0084324669645864,0.0414071828486633,0.0085631666596555,0.1338539721942993,-0.0257310949025514,-0.1128700962089651,-0.2450687767784904,0.0006619704370087,0.1614358866630567,-0.0843246696458645
6,-0.0989162847399711,0.8927729725837708,0.3461484909057617,-0.7998815774917603,-0.2493839859962463,-0.5222336053848267,0.5116971135139465,0.4,0.5,-0.24,0.3998290591025351,0.4997867252196609,-0.2877269968811067,0.0150690832742454,0.0030049241682743,0.012924159821522,0.027780257286719,0.0002843382633219,0.0187269747676515,0.0097335136622734,0.0477277795231615,0.1772838912065708,0.1506908327424541,0.0300492416827441,0.1292415982152205,-0.2778025728671905,-0.002843382633219,0.1872697476765153,0.0973351366227345,6,-0.1011623367667198,-0.8923740983009338,-0.3440574705600738,-0.7955843806266785,0.2492657601833343,-0.5221853256225586,-0.5118523240089417,0.4,-0.5,-0.24,0.3998222950569735,-0.4999209402211996,-0.2887063100065986,0.0153981283745122,0.0030673130141529,0.0131161110568045,0.0283481293784418,0.0002197837512778,0.0187720989794281,0.0098064710082513,0.0487066983479098,0.0090267261730332,0.1539812837451221,-0.0306731301415292,-0.1311611105680452,-0.2834812937844192,0.0021978375127781,0.1877209897942809,-0.0980647100825141
7,-0.0931726321578026,0.8939117193222047,0.348537415266037,-0.8052541017532349,-0.2492351233959198,-0.5187697410583496,0.5169844031333923,0.4,0.5,-0.23,0.3992754171867833,0.4999319669450726,-0.2863649133968831,0.0172028956081076,0.003567525999802,0.0149208244848692,0.0321552142304176,0.0002899996596369,0.0216411879544339,0.011129008243393,0.0563696115916005,0.0973346174061475,0.1720289560810763,0.0356752599980206,0.1492082448486918,-0.3215521423041768,-0.0028999965963693,0.2164118795443391,0.1112900824339302,7,-0.0934332236647605,-0.8939009308815002,-0.3506881892681122,-0.8099099397659302,0.2493374347686767,-0.5127434730529785,-0.5167908668518066,0.4,-0.5,-0.23,0.39982511146234,-0.4998907352544048,-0.2852110661537066,0.0169384745303085,0.0035453032336492,0.0146263143993612,0.0314143122840901,0.0004778545345349,0.0209731222229637,0.010949972625696,0.0552114512634309,0.0138876285798232,0.169384745303086,-0.035453032336492,-0.146263143993613,-0.3141431228409025,0.0047785453453493,0.2097312222296379,-0.1094997262569611
8,-0.08384720236063,0.8957778811454773,0.3590726554393768,-0.8276618123054504,-0.2496683299541473,-0.503506600856781,0.5214306116104126,0.4,0.5,-0.22,0.3997944080904637,0.4997245206964477,-0.280891491375712,0.0180658694369428,0.0039805650261116,0.01592974518435,0.0338327609361961,0.0008391814148084,0.0230737094903423,0.012001829560689,0.0608924615928635,0.1657192410923471,0.1806586943694281,0.0398056502611167,0.1592974518435001,-0.3383276093619612,-0.0083918141480848,0.2307370949034234,0.1200182956068908,8,-0.0764947459101677,-0.8974462151527405,-0.3571735918521881,-0.8239325284957886,0.2494855374097824,-0.503413200378418,-0.5216587781906128,0.4,-0.5,-0.22,0.3980394088260597,-0.5004355048791077,-0.2836003580657781,0.0176617599720603,0.0038916844848477,0.0161815448732887,0.0344178453650231,0.0006818635211426,0.0230658134985957,0.0122203991316218,0.0636320605382715,0.4935765670952362,0.1766175997206038,-0.0389168448484779,-0.161815448732887,-0.3441784536502313,0.0068186352114261,0.2306581349859568,-0.1222039913162188
9,-0.0759697332978248,0.897479236125946,0.3634582459926605,-0.8374093174934388,-0.2495251297950744,-0.4971285462379455,0.5281134247779846,0.4,0.5,-0.21,0.3992928781539516,0.4998415173538677,-0.2786536447566302,0.0196034992521321,0.0045473427316766,0.0175572345927457,0.0372277630498786,0.0010149827395576,0.0254616486960569,0.0131366600691921,0.068657469196176,0.0880626179068144,0.1960349925213217,0.0454734273167669,0.1755723459274571,-0.3722776304987863,-0.0101498273955765,0.2546164869605695,0.1313666006919216,9,-0.0764947459101677,-0.8974462151527405,-0.3653145134449005,-0.841324269771576,0.2498152852058411,-0.4917703568935394,-0.5277408361434937,0.4,-0.5,-0.21,0.3997904609121818,-0.4998044880005714,-0.2776183536133927,0.0193545241003347,0.0045247317239475,0.0172877999705627,0.0365642896038804,0.0011853870187215,0.0248666331338658,0.0129788971951206,0.0676189609278127,0.022596888857663,0.1935452410033477,-0.0452473172394753,-0.1728779997056272,-0.3656428960388042,0.0118538701872161,0.2486663313386587,-0.1297889719512064
