Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
0,-0.11829702556133272,0.8891583681106567,0.3297373652458191,-0.7641734480857849,-0.24936535954475406,-0.5427701473236084,0.5011052489280701,0.4,0.5,-0.30000000000000004,0.39981584057446407,0.49999853583688364,-0.30001460208341574,0.00013713739836150596,1.4538678547837414e-05,8.815853861759981e-05,0.00010834624662658943,1.927495056444628e-05,1.986876366943946e-05,3.280003837335954e-05,0.0001847432234953256,0.0022512643094775107,-0.0013713739836150212,0.00014538678547829797,-0.0008815853861762508,0.0010834624662659975,-0.0001927495056444058,-0.0001986876366948178,-0.0003280003837339853
1,-0.11843416094779968,0.889172911643982,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.29000000000000004,0.39984692156052537,0.4999960878966115,-0.2989631305171799,0.002942743175684784,0.0005524309858916387,0.0024458908619222064,0.005418110949032662,2.7193881806164555e-05,0.0035707860920458634,0.001847016513485955,0.008964438464353776,0.0069121991071483535,0.02942743175684787,0.005524309858916249,0.02445890861922228,-0.05418110949032644,0.00027193881806176524,0.03570786092045881,0.018470165134859877
2,-0.11549142003059389,0.8897253274917603,0.33218526840209966,-0.7696143388748169,-0.24938464164733887,-0.5427899956703186,0.5010724663734436,0.4,0.5,-0.28,0.3998547847959269,0.4998311214021699,-0.296780058065709,0.005659617018988997,0.001020046689989118,0.004758324629250021,0.010335811325493105,1.7290387965829268e-05,0.007139411348596303,0.00366706566241648,0.016781536167015942,0.2120700966091249,0.05659617018988996,0.010200466899890806,0.047583246292499964,-0.10335811325493072,0.00017290387965830656,0.07139411348596271,0.036670656624165014
3,-0.11549142003059389,0.8897253274917603,0.33218526840209966,-0.7696143388748169,-0.2493455857038498,-0.5392155051231384,0.5029671788215637,0.4,0.5,-0.27,0.39985320665822754,0.49998200998341225,-0.2960522596948092,0.00867521752024647,0.0015886793747970085,0.007216020475050766,0.015789032180010598,7.41058581495424e-05,0.01032868363882189,0.005390808125895208,0.02605267946165354,0.006441387150175615,0.08675217520246466,0.015886793747969682,0.07216020475050779,-0.15789032180010568,0.0007410585814952922,0.10328683638821833,0.05390808125895198
4,-0.10983180254697801,0.8907454013824463,0.3369435966014862,-0.7799501419067384,-0.249367356300354,-0.5356506109237671,0.50473952293396,0.4,0.5,-0.26,0.3998495401844896,0.4998216115874681,-0.2930788180752425,0.010915517147354573,0.0020275994239294937,0.009204907367147408,0.01993145098922755,1.6625045402923755e-05,0.01341700779636934,0.006957614996057182,0.033079641259191404,0.1927315312870519,0.1091551714735457,0.020275994239295325,0.09204907367147382,-0.19931450989227528,-0.00016625045402929306,0.13417007796369354,0.06957614996057182
5,-0.10681620240211487,0.8913140296936036,0.3369435966014862,-0.7799501419067384,-0.249367356300354,-0.5356506109237671,0.5083580017089844,0.4,0.5,-0.25,0.3992391488733588,0.4999969929779498,-0.2926923354597966,0.013643569779462891,0.0025976751258732778,0.011593816931021517,0.025303967617033463,0.00013222556283268294,0.016880871961233668,0.00862641501214878,0.04269911486776863,0.10889937828778784,0.13643569779462894,0.025976751258732306,0.11593816931021539,-0.25303967617033474,0.0013222556283267878,0.1688087196123367,0.08626415012148739
6,-0.09891628473997116,0.8927729725837708,0.3461484909057617,-0.7998815774917603,-0.24938398599624637,-0.5222336053848267,0.5116971135139465,0.4,0.5,-0.24000000000000002,0.39982905910253513,0.4997867252196609,-0.2877269968811067,0.015069083274245415,0.003004924168274359,0.012924159821522063,0.027780257286719068,0.0002843382633219149,0.018726974767651505,0.009733513662273485,0.04772777952316158,0.17728389120657084,0.15069083274245412,0.030049241682744143,0.12924159821522052,-0.27780257286719057,-0.0028433826332190243,0.18726974767651536,0.09733513662273456
7,-0.0931726321578026,0.8939117193222047,0.348537415266037,-0.8052541017532349,-0.2492351233959198,-0.5187697410583496,0.5169844031333923,0.4,0.5,-0.23,0.3992754171867833,0.49993196694507264,-0.28636491339688314,0.01720289560810763,0.0035675259998020348,0.0149208244848692,0.03215521423041767,0.0002899996596369414,0.021641187954433927,0.011129008243393024,0.056369611591600546,0.09733461740614757,0.17202895608107632,0.03567525999802068,0.14920824484869188,-0.32155214230417684,-0.0028999965963693863,0.2164118795443391,0.11129008243393024
8,-0.08384720236063004,0.8957778811454773,0.35907265543937683,-0.8276618123054504,-0.24966832995414737,-0.503506600856781,0.5214306116104126,0.4,0.5,-0.22,0.39979440809046374,0.49972452069644774,-0.280891491375712,0.018065869436942814,0.00398056502611166,0.01592974518435003,0.03383276093619614,0.0008391814148084598,0.023073709490342376,0.01200182956068907,0.06089246159286355,0.16571924109234715,0.18065869436942816,0.039805650261116765,0.15929745184350014,-0.33832760936196127,-0.008391814148084847,0.23073709490342348,0.12001829560689087
9,-0.07596973329782486,0.897479236125946,0.3634582459926605,-0.8374093174934388,-0.24952512979507446,-0.49712854623794556,0.5281134247779846,0.4,0.5,-0.21,0.3992928781539516,0.4998415173538677,-0.27865364475663024,0.019603499252132173,0.0045473427316766735,0.01755723459274572,0.037227763049878626,0.001014982739557635,0.025461648696056938,0.013136660069192119,0.06865746919617607,0.08806261790681447,0.19603499252132173,0.04547342731676696,0.17557234592745716,-0.3722776304987863,-0.010149827395576586,0.2546164869605695,0.13136660069192166
