Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
0,-0.11830054968595505,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.30000000000000004,0.39982008669700664,-0.4999999719324952,-0.2999997064682195,0.0001366970628304126,1.2834728926325312e-05,8.885155514137821e-05,0.00011066095683343047,1.8006981579055115e-05,1.8400559335107758e-05,3.360376186034575e-05,0.00017991354463374977,5.45346872513619e-05,-0.0013669706283040656,-0.00012834728926315207,0.0008885155514138111,0.001106609568334403,0.00018006981579048403,-0.00018400559335140983,0.00033603761860303633
1,-0.11843724548816681,-0.8891898393630981,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.29000000000000004,0.39984812417288246,-0.5000013272819864,-0.2989561954610211,0.0029430746846737105,0.0005507749979001275,0.0024457771855957433,0.005418000776455045,2.7325991224014246e-05,0.0035707016674778602,0.0018472600805424788,0.00895748319365179,0.007127971233046537,0.02943074684673704,-0.005507749979001282,-0.024457771855957558,-0.05418000776455094,-0.0002732599122402795,0.03570701667477866,-0.018472600805425135
2,-0.11843724548816681,-0.8891898393630981,-0.32965055108070374,-0.7640855312347412,0.24939078092575073,-0.5428047180175781,-0.5010865330696106,0.4,-0.5,-0.28,0.3998338302811066,-0.49999312864762,-0.2979927246722158,0.00601103053194367,0.001090679446594578,0.0049887500029678344,0.010959611371458067,7.644138906759412e-05,0.007161931770344077,0.0037338703550703345,0.01799349328843968,0.0008467179344506803,0.06011030531943666,-0.010906794465946057,-0.04988750002967815,-0.1095961137145811,-0.00076441389067608,0.07161931770344097,-0.03733870355070316
3,-0.11549416929483414,-0.8897405862808228,-0.33218517899513245,-0.7696142196655273,0.24934545159339905,-0.539215624332428,-0.5029674172401428,0.4,-0.5,-0.27,0.39985427410287244,-0.4999867131615889,-0.2960460211466626,0.00867554654039561,0.0015872263721101731,0.007216003702021023,0.01578882644945412,7.420383600198477e-05,0.010328563741690111,0.005391019514351059,0.02604643219616775,0.00683879192609993,0.08675546540395607,-0.01587226372110137,-0.07216003702020997,-0.15788826449454085,-0.0007420383600199171,0.10328563741690149,-0.053910195143510184
4,-0.11242621392011642,-0.890280544757843,-0.334639310836792,-0.7750451564788818,0.2493143379688263,-0.5356428027153015,-0.5048204064369202,0.4,-0.5,-0.26,0.39983530494735275,-0.49996879435617375,-0.29416889321136835,0.011263875646493948,0.002093526009844582,0.00941817182057969,0.02053921208223275,4.858350765729602e-05,0.013457501152300044,0.00703188900854923,0.03416930437604001,0.0036484304341684037,0.11263875646493954,-0.020935260098445846,-0.09418171820579666,-0.20539212082232738,-0.00048583507657287,0.134575011523,-0.07031889008549186
5,-0.10681862384080887,-0.8913277983665467,-0.3394011855125427,-0.7854030728340149,0.2492712438106537,-0.5288870334625244,-0.5083584189414978,0.4,-0.5,-0.25,0.39984684003772447,-0.49995121172579965,-0.291406870845222,0.01338539721942994,0.002573109490255132,0.011287009620896515,0.024506877677849093,6.619704370086632e-05,0.01614358866630572,0.008432466964586438,0.04140718284866333,0.008563166659655508,0.13385397219429937,-0.02573109490255146,-0.11287009620896514,-0.24506877677849045,0.0006619704370087603,0.16143588666305678,-0.08432466964586456
6,-0.10116233676671982,-0.8923740983009338,-0.34405747056007385,-0.7955843806266785,0.24926576018333435,-0.5221853256225586,-0.5118523240089417,0.4,-0.5,-0.24000000000000002,0.3998222950569735,-0.4999209402211996,-0.28870631000659863,0.01539812837451221,0.0030673130141529725,0.013116111056804547,0.02834812937844189,0.0002197837512778189,0.01877209897942811,0.009806471008251383,0.04870669834790989,0.00902672617303324,0.1539812837451221,-0.03067313014152928,-0.13116111056804525,-0.2834812937844192,0.0021978375127781474,0.18772098979428095,-0.09806471008251418
7,-0.09343322366476059,-0.8939009308815002,-0.3506881892681122,-0.8099099397659302,0.24933743476867676,-0.5127434730529785,-0.5167908668518066,0.4,-0.5,-0.23,0.39982511146234,-0.4998907352544048,-0.28521106615370667,0.016938474530308598,0.0035453032336492107,0.014626314399361295,0.031414312284090196,0.00047785453453494386,0.02097312222296377,0.01094997262569608,0.055211451263430925,0.013887628579823286,0.169384745303086,-0.03545303233649205,-0.14626314399361307,-0.3141431228409025,0.004778545345349383,0.20973122222963797,-0.1094997262569611
8,-0.0764947459101677,-0.8974462151527405,-0.3571735918521881,-0.8239325284957886,0.2494855374097824,-0.503413200378418,-0.5216587781906128,0.4,-0.5,-0.22,0.39803940882605976,-0.5004355048791077,-0.28360035806577816,0.017661759972060383,0.0038916844848477794,0.01618154487328871,0.034417845365023125,0.0006818635211426338,0.02306581349859571,0.012220399131621873,0.06363206053827153,0.49357656709523623,0.1766175997206038,-0.038916844848477905,-0.161815448732887,-0.3441784536502313,0.00681863521142613,0.23065813498595686,-0.12220399131621881
9,-0.0764947459101677,-0.8974462151527405,-0.3653145134449005,-0.841324269771576,0.2498152852058411,-0.49177035689353943,-0.5277408361434937,0.4,-0.5,-0.21,0.39979046091218184,-0.4998044880005714,-0.2776183536133927,0.01935452410033478,0.004524731723947517,0.017287799970562734,0.03656428960388047,0.0011853870187215898,0.02486663313386589,0.012978897195120687,0.06761896092781274,0.02259688885766309,0.19354524100334775,-0.04524731723947534,-0.17287799970562728,-0.36564289603880423,0.011853870187216162,0.2486663313386587,-0.12978897195120642
10,-0.058832984417676926,-0.9013379216194153,-0.3733551502227783,-0.8583503961563111,0.2501673996448517,-0.48034739494323736,-0.5338791608810425,0.4,-0.5,-0.19999999999999998,0.3982015470561757,-0.5002644779447584,-0.27516260566399775,0.019627848812432805,0.004897075446052224,0.018535873484932908,0.03872941556434362,0.0015433104093747763,0.026517531591761068,0.01401413569693799,0.07518458400347802,0.4485795751048776,0.19627848812432808,-0.048970754460522015,-0.18535873484932927,-0.38729415564343567,0.015433104093748012,0.26517531591761073,-0.14014135696937982
11,-0.05714021995663643,-0.9019709229469299,-0.3826023042201996,-0.8778885602951051,0.25100067257881165,-0.46690371632575994,-0.540719747543335,0.4,-0.5,-0.18999999999999997,0.3997450339211223,-0.49969424011059027,-0.2687747977491319,0.020747444144473173,0.00552076855974537,0.01937297751545658,0.04014125664104984,0.002174605502013205,0.027929621212063938,0.014590057250308375,0.07877580375488394,0.03410694752199106,0.20747444144473173,-0.05520768559745326,-0.1937297751545658,-0.4014125664104984,0.021746055020131883,0.2792962121206394,-0.14590057250308344
12,-0.03639277443289757,-0.907491683959961,-0.3918910324573517,-0.8970798254013062,0.2517107129096985,-0.4538298547267914,-0.5478932857513428,0.4,-0.5,-0.17999999999999997,0.39787868472589893,-0.5003908887811869,-0.26588500932117604,0.020446984722077306,0.005823121187183422,0.020413593750443493,0.041591403258366744,0.002634439597307081,0.029170315811173075,0.015493647717809922,0.08591209227244959,0.5683768708245946,0.20446984722077305,-0.05823121187183389,-0.20413593750443482,-0.4159140325836678,0.0263443959730707,0.2917031581117306,-0.15493647717809875
13,-0.03639277443289757,-0.907491683959961,-0.4019752740859986,-0.9180298447608948,0.253175288438797,-0.4389740824699402,-0.5553098320960999,0.4,-0.5,-0.16999999999999996,0.3996908741973839,-0.49956350096854163,-0.25881227074868035,0.021267357602570272,0.006535971775484151,0.020993023377139097,0.04238285694481814,0.003412214782305467,0.030288173544223473,0.0158677048082444,0.08881388137956374,0.04796569234230219,0.21267357602570272,-0.06535971775484156,-0.2099302337713907,-0.42382856944818154,0.034122147823054644,0.30288173544223485,-0.15867704808244393
14,-0.015945790335536003,-0.9133148193359376,-0.41230463981628424,-0.9386712312698365,0.2543451488018036,-0.4246595501899719,-0.5633869171142578,0.4,-0.5,-0.16000000000000006,0.3980403568396301,-0.5001535264860466,-0.25521232606393895,0.020662613375674228,0.006872782500492058,0.0218255238979409,0.04322825512775508,0.0039952559224640805,0.031215656408640047,0.01661244106549964,0.09523261419389746,0.5212335571184631,0.20662613375674227,-0.06872782500492058,-0.21825523897940907,-0.43228255127755044,0.039952559224641054,0.3121565640864005,-0.16612441065499658
15,-0.015125417150557043,-0.9140276312828064,-0.42296829819679266,-0.9604126811027527,0.25658750534057617,-0.40868592262268066,-0.5711775422096252,0.4,-0.5,-0.15000000000000005,0.39962946395920984,-0.49941683747895155,-0.2478488434970043,0.021061584288592703,0.007570322204578206,0.02224381141630033,0.043526366483534806,0.004859126420754756,0.03206472841060409,0.016894426189842826,0.09785128281828866,0.06375538700808647,0.21061584288592702,-0.07570322204578239,-0.22243811416300313,-0.4352636648353487,0.0485912642075475,0.3206472841060411,-0.16894426189842868
16,0.005936167202889919,-0.921597957611084,-0.44521209597587585,-1.0039390325546265,0.25834041833877563,-0.39344388246536255,-0.5799993872642518,0.4,-0.5,-0.14000000000000004,0.39948046890414873,-0.49862099579659386,-0.23559480301874902,0.01905119482911079,0.007646344114501158,0.021737571116546173,0.04063860515280471,0.006045916586345457,0.03247936508480004,0.016978955727002254,0.095606160519843,1.052905644890302,0.1905119482911079,-0.07646344114501169,-0.21737571116546156,-0.4063860515280481,0.06045916586345429,0.32479365084800055,-0.16978955727002276
17,0.005936167202889919,-0.921597957611084,-0.44521209597587585,-1.0039390325546265,0.26144662499427795,-0.37662118673324585,-0.5880719423294067,0.4,-0.5,-0.13000000000000003,0.3995616525333806,-0.4992593033708669,-0.23598958410259308,0.020255536574158392,0.00862460667752074,0.023194464509172896,0.04378111221506087,0.006476990347421829,0.033365654073101214,0.0177437678216692,0.10599307863364732,0.0810508835421615,0.2025553657415839,-0.08624606677520763,-0.2319446450917288,-0.4378111221506082,0.06476990347421824,0.33365654073101203,-0.17743767821669157
18,0.024987362325191498,-0.9292442798614502,-0.4669496715068817,-1.0445775985717773,0.2643863260746002,-0.36096450686454773,-0.5969783663749695,0.4,-0.5,-0.12000000000000002,0.3993481017313082,-0.4985074592256768,-0.2239758688842236,0.01823402229652582,0.008747992503645552,0.022679749506011315,0.04097980282096092,0.007659736746622237,0.03367678566422211,0.017854422136339032,0.10398862418334515,0.9618981376628426,0.1823402229652582,-0.08747992503645552,-0.2267974950601132,-0.4097980282096102,0.0765973674662221,0.33676785664222086,-0.17854422136339063
19,0.026191703975200653,-0.9302225708961487,-0.4684065580368042,-1.047720193862915,0.26792362332344055,-0.34325551986694336,-0.6058157086372375,0.4,-0.5,-0.11000000000000001,0.39948770882034146,-0.49909603310201905,-0.22332781121491369,0.01894767541388008,0.009702948989511184,0.023885125028500986,0.043319265941198504,0.008229887184033668,0.034277060132503756,0.01847839427803577,0.11333257428104469,0.09939543426014552,0.18947675413880077,-0.09702948989511173,-0.23885125028500986,-0.43319265941198504,0.08229887184033643,0.34277060132503745,-0.1847839427803577
20,0.04322138428688049,-0.9379922747612,-0.4896294176578522,-1.085557460784912,0.2720460593700409,-0.3272877335548401,-0.6148327589035034,0.4,-0.5,-0.1,0.399217795726746,-0.4983859353724477,-0.21152954769198754,0.016915600214262895,0.009880501007288656,0.02334112763871099,0.04060954383632742,0.009398714659260121,0.03449933068432082,0.018630792023413667,0.1115439691625071,0.8814433224804361,0.16915600214262894,-0.098805010072886,-0.2334112763871104,-0.4060954383632752,0.09398714659260107,0.34499330684320806,-0.18630792023413656
21,0.045139379799366,-0.9399254918098451,-0.4922916889190674,-1.0910394191741943,0.2761535048484802,-0.30897846817970276,-0.624294102191925,0.4,-0.485,-0.1,0.39938278762531815,-0.49748125647525054,-0.21095340068108712,0.01789239223178045,0.0072128943264356815,0.02283999165282835,0.04550918446432917,0.007318842105010048,0.036462299231110606,0.01776469112189838,0.1116549140746358,0.11420579428408928,0.17892392231780452,-0.0721289432643566,-0.22839991652828368,-0.455091844643292,0.07318842105010062,0.3646229923111061,-0.1776469112189841
22,0.060136985033750534,-0.9478727579116822,-0.5129705667495728,-1.1261670589447021,0.281444787979126,-0.29278841614723206,-0.6334635615348816,0.4,-0.47,-0.1,0.39904554649838386,-0.49536031588208845,-0.20035978465770754,0.01642666940249783,0.003871238192798443,0.020474941969419902,0.04622170393191127,0.005634858000934662,0.038280215718797916,0.016557964573677864,0.10351880495672024,0.8053524089473854,0.1642666940249783,-0.03871238192798421,-0.2047494196941992,-0.4622170393191133,0.05634858000934678,0.3828021571879789,-0.1655796457367789
