Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
0,-0.118300549685955,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.3,0.4000000909396212,0.4999997403294541,-0.2999999418747554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8120695427393266e-07,7.246521704473707e-05,0,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.3,0.4000000993227536,-0.5000000346593952,-0.2999996775262862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.391984361768772e-07,6.151911611596006e-05
1,-0.118300549685955,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.29,0.4000000792442743,0.4999997561667296,-0.2899999461966801,0.0268082395195961,0.0019977688789367,0.0317068994045257,0.0529413819313049,0.0088495314121246,0.037100613117218,0.0084325671195983,2.619715938724276e-07,6.986352070725843e-05,1,-0.118300549685955,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.29,0.4000000896028568,-0.5000000270149506,-0.2899996798724647,0.0268082395195961,0.0019977688789367,0.0317068994045257,0.0529413819313049,0.0088495314121246,0.037100613117218,0.0084325671195983,3.335267880303627e-07,6.271605258234558e-05
2,-0.0914923101663589,0.8911747932434082,0.3614462912082672,-0.817137598991394,-0.2582223117351532,-0.5056856870651245,0.5095527172088623,0.4,0.5,-0.2799999999999999,0.4000000745110799,0.4999997575298923,-0.2799999496110645,0.0232643410563468,0.0022047758102416,0.0293575227260589,0.0487567186355591,0.009369671344757,0.0352591872215271,0.0084393620491027,2.5861689608804906e-07,6.957076595881517e-05,2,-0.0914923101663589,-0.8911747932434082,-0.3614462912082672,-0.817137598991394,0.2582223117351532,-0.5056856870651245,-0.5095527172088623,0.4,-0.5,-0.2799999999999999,0.4000000860263031,-0.5000000062084654,-0.2799996818346923,0.0232643410563468,0.0022047758102416,0.0293575227260589,0.0487567186355591,0.009369671344757,0.0352591872215271,0.0084393620491027,3.296486505877706e-07,6.149541388822399e-05
3,-0.068227969110012,0.8933795690536499,0.3908038139343261,-0.8658943176269532,-0.2675919830799103,-0.4704264998435974,0.5179920792579651,0.4,0.5,-0.27,0.4000000724649362,0.4999997614108727,-0.2699999394412893,0.0202010907232761,0.0024621486663818,0.0273590981960296,0.0451984405517577,0.0098363161087036,0.0337268710136413,0.0085233449935913,2.5659948571598265e-07,7.015505377694353e-05,3,-0.068227969110012,-0.8933795690536499,-0.3908038139343261,-0.8658943176269532,0.2675919830799103,-0.4704264998435974,-0.5179920792579651,0.4,-0.5,-0.27,0.4000000844531284,-0.4999999891477471,-0.2699996706547794,0.0202010907232761,0.0024621486663818,0.0273590981960296,0.0451984405517577,0.0098363161087036,0.0337268710136413,0.0085233449935913,3.40174038713418e-07,6.18735598436615e-05
4,-0.0480268783867359,0.8958417177200317,0.4181629121303558,-0.9110927581787108,-0.2774282991886139,-0.436699628829956,0.5265154242515564,0.4,0.5,-0.26,0.4000000687597985,0.4999997728588107,-0.259999927936463,0.0174917504191398,0.0027610063552856,0.0256156027317047,0.0421018004417419,0.0102679729461669,0.0324221551418304,0.0086613297462463,2.480205295899776e-07,6.998861209694951e-05,4,-0.0480268783867359,-0.8958417177200317,-0.4181629121303558,-0.9110927581787108,0.2774282991886139,-0.436699628829956,-0.5265154242515564,0.4,-0.5,-0.26,0.4000000806391293,-0.499999980814654,-0.2599996585229481,0.0174917504191398,0.0027610063552856,0.0256156027317047,0.0421018004417419,0.0102679729461669,0.0324221551418304,0.0086613297462463,3.513934029838928e-07,6.287855973141632e-05
5,-0.030535127967596,0.8986027240753174,0.4437785148620605,-0.9531945586204528,-0.2876962721347809,-0.4042774736881256,0.5351767539978027,0.4,0.5,-0.25,0.4000000626879695,0.499999764449718,-0.2499999425227403,0.0150503609329462,0.0030952095985413,0.0240614414215087,0.0393555760383605,0.010676234960556,0.0312896966934204,0.0088382959365844,2.504343271720644e-07,6.99052426966773e-05,5,-0.030535127967596,-0.8986027240753174,-0.4437785148620605,-0.9531945586204528,0.2876962721347809,-0.4042774736881256,-0.5351767539978027,0.4,-0.5,-0.25,0.4000000739558406,-0.4999999537297106,-0.2499996728219007,0.0150503609329462,0.0030952095985413,0.0240614414215087,0.0393555760383605,0.010676234960556,0.0312896966934204,0.0088382959365844,3.386087930150488e-07,6.194420529936906e-05
6,-0.0154847670346498,0.9016979336738588,0.4678399562835693,-0.9925501346588136,-0.2983725070953369,-0.3729877769947052,0.5440150499343872,0.4,0.5,-0.24,0.4000000516805105,0.4999998030540638,-0.2399999453599293,0.0128160463646054,0.0034605860710142,0.0226497948169708,0.0368813276290893,0.0110687911510467,0.0302903354167938,0.0090439319610595,2.108177275676275e-07,6.42999826823143e-05,6,-0.0154847670346498,-0.9016979336738588,-0.4678399562835693,-0.9925501346588136,0.2983725070953369,-0.3729877769947052,-0.5440150499343872,0.4,-0.5,-0.24,0.4000000618976047,-0.4999999747165986,-0.2399996756788366,0.0128160463646054,0.0034605860710142,0.0226497948169708,0.0368813276290893,0.0110687911510467,0.0302903354167938,0.0090439319610595,3.311416326229426e-07,6.313308301741927e-05
7,-0.0026687206700444,0.905158519744873,0.4904897511005401,-1.0294314622879028,-0.3094412982463836,-0.3426974415779114,0.5530589818954468,0.4,0.5,-0.2299999999999999,0.400000047977724,0.4999997943931437,-0.2299999416573116,0.01074412278831,0.0038533806800842,0.02134570479393,0.0346224308013916,0.0114505290985107,0.0293953418731689,0.0092710256576538,2.1904317070118774e-07,6.713940462077517e-05,7,-0.0026687206700444,-0.905158519744873,-0.4904897511005401,-1.0294314622879028,0.3094412982463836,-0.3426974415779114,-0.5530589818954468,0.4,-0.5,-0.2299999999999999,0.4000000567564701,-0.4999999494565613,-0.2299996722785799,0.01074412278831,0.0038533806800842,0.02134570479393,0.0346224308013916,0.0114505290985107,0.0293953418731689,0.0092710256576538,3.364182891246718e-07,6.170840612185202e-05
8,0.0080754021182656,0.9090119004249572,0.5118354558944702,-1.0640538930892944,-0.3208918273448944,-0.3133020997047424,0.5623300075531006,0.4,0.5,-0.2199999999999999,0.4000000490086614,0.4999997987154637,-0.2199999418082412,0.008800727315247,0.0042711496353149,0.0201222300529479,0.0325359106063842,0.0118247866630554,0.0285831987857818,0.0095138549804687,2.151826996736515e-07,6.495416533880416e-05,8,0.0080754021182656,-0.9090119004249572,-0.5118354558944702,-1.0640538930892944,0.3208918273448944,-0.3133020997047424,-0.5623300075531006,0.4,-0.5,-0.2199999999999999,0.4000000560046701,-0.4999999381636162,-0.2199996729959114,0.008800727315247,0.0042711496353149,0.0201222300529479,0.0325359106063842,0.0118247866630554,0.0285831987857818,0.0095138549804687,3.3747879240005026e-07,6.416380188056792e-05
9,0.0168761294335126,0.9132830500602722,0.5319576859474182,-1.0965898036956787,-0.3327166140079498,-0.2847189009189605,0.5718438625335693,0.4,0.5,-0.21,0.4000000401705632,0.4999998203689362,-0.20999993612418,0.0069594494998455,0.0047112107276916,0.0189581513404846,0.0305894613265991,0.0121937394142151,0.0278371274471282,0.0097684264183044,1.9483611982234167e-07,6.273929369626785e-05,9,0.0168761294335126,-0.9132830500602722,-0.5319576859474182,-1.0965898036956787,0.3327166140079498,-0.2847189009189605,-0.5718438625335693,0.4,-0.5,-0.21,0.4000000450761752,-0.4999999451557154,-0.2099996681284528,0.0069594494998455,0.0047112107276916,0.0189581513404846,0.0305894613265991,0.0121937394142151,0.0278371274471282,0.0097684264183044,3.3937955288834574e-07,6.416380188056792e-05
